  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20150101.020000    -8.09   -10.45    66.41     2.14     0.10     5.35     6.12
 20150101.030000    -8.25   -10.44    64.35     2.36     0.15     5.57     6.41
 20150101.040000    -8.40   -10.43    62.97     2.51     0.21     5.76     6.65
 20150101.050000    -8.55   -10.42    61.79     2.60     0.28     5.90     6.79
 20150101.060000    -8.71   -10.41    60.90     2.68     0.33     6.01     6.94
 20150101.070000    -8.87   -10.39    60.30     2.74     0.38     6.10     7.07
 20150101.080000    -9.03   -10.39    59.97     2.80     0.43     6.18     7.17
 20150101.090000    -9.11    -9.97    59.96     2.83     0.47     6.24     7.26
 20150101.100000    -9.19    -9.55    60.12     2.84     0.50     6.28     7.32
 20150101.110000    -9.27    -9.13    60.38     2.83     0.52     6.30     7.35
 20150101.120000    -9.33    -8.69    60.78     2.81     0.54     6.30     7.36
 20150101.130000    -9.40    -8.25    61.35     2.79     0.55     6.30     7.36
 20150101.140000    -9.46    -7.80    61.95     2.76     0.55     6.28     7.35
 20150101.150000    -9.84    -7.72    62.45     2.76     0.56     6.27     7.31
 20150101.160000   -10.23    -7.64    62.86     2.78     0.56     6.28     7.28
 20150101.170000   -10.60    -7.54    63.22     2.83     0.58     6.32     7.28
 20150101.180000   -10.98    -7.45    63.53     2.88     0.59     6.36     7.30
 20150101.190000   -11.34    -7.35    63.86     2.94     0.62     6.41     7.32
 20150101.200000   -11.71    -7.25    64.16     3.00     0.64     6.46     7.36
 20150101.210000   -11.34    -7.53    64.16     3.02     0.66     6.50     7.40
 20150101.220000   -10.94    -7.80    63.97     3.01     0.67     6.50     7.43
 20150101.230000   -10.55    -8.06    63.72     2.97     0.66     6.48     7.42
 20150102.000000   -10.14    -8.31    63.49     2.92     0.64     6.42     7.38
 20150102.010000    -9.71    -8.56    63.25     2.86     0.61     6.35     7.31
 20150102.020000    -9.27    -8.79    63.03     2.79     0.58     6.26     7.22
 20150102.030000    -8.88    -8.66    62.92     2.71     0.55     6.17     7.12
 20150102.040000    -8.48    -8.55    62.90     2.62     0.51     6.06     7.00
 20150102.050000    -8.08    -8.43    62.88     2.53     0.48     5.94     6.87
 20150102.060000    -7.69    -8.30    62.93     2.45     0.44     5.83     6.77
 20150102.070000    -7.28    -8.17    63.04     2.35     0.41     5.72     6.68
 20150102.080000    -6.88    -8.04    63.36     2.25     0.37     5.63     6.60
 20150102.090000    -7.07    -7.68    63.72     2.16     0.34     5.54     6.52
 20150102.100000    -7.26    -7.31    64.36     2.09     0.31     5.45     6.41
 20150102.110000    -7.44    -6.92    65.08     2.03     0.29     5.36     6.30
 20150102.120000    -7.60    -6.52    66.03     1.98     0.26     5.30     6.23
 20150102.130000    -7.75    -6.11    66.98     1.93     0.24     5.24     6.18
 20150102.140000    -7.89    -5.68    67.65     1.90     0.22     5.17     6.14
 20150102.150000    -8.18    -5.83    67.88     1.88     0.20     5.12     6.08
 20150102.160000    -8.49    -5.99    67.92     1.89     0.18     5.10     6.03
 20150102.170000    -8.78    -6.15    67.86     1.91     0.17     5.11     6.02
 20150102.180000    -9.08    -6.30    67.72     1.94     0.16     5.15     6.03
 20150102.190000    -9.38    -6.45    67.54     1.99     0.16     5.20     6.06
 20150102.200000    -9.67    -6.61    67.28     2.04     0.16     5.26     6.09
