  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20140901.080000    -2.49     0.19   138.62     0.42     0.00     3.19     3.85
 20140901.090000    -2.97     0.67   139.12     0.41     0.00     3.29     3.95
 20140901.100000    -3.40     1.16   138.49     0.42     0.00     3.33     4.06
 20140901.110000    -3.81     1.64   137.45     0.45     0.00     3.33     4.16
 20140901.120000    -4.19     2.12   136.72     0.49     0.00     3.25     4.25
 20140901.130000    -4.57     2.59   137.00     0.55     0.00     3.18     4.30
 20140901.140000    -4.93     3.05   137.47     0.60     0.00     3.21     4.28
 20140901.150000    -4.81     3.00   138.00     0.65     0.00     3.30     4.25
 20140901.160000    -4.69     2.96   138.52     0.68     0.00     3.40     4.34
 20140901.170000    -4.57     2.91   139.02     0.70     0.00     3.50     4.44
 20140901.180000    -4.45     2.86   139.58     0.73     0.00     3.60     4.54
 20140901.190000    -4.33     2.81   140.17     0.75     0.00     3.70     4.63
 20140901.200000    -4.21     2.77   140.80     0.78     0.00     3.79     4.72
 20140901.210000    -4.42     2.44   141.34     0.80     0.00     3.87     4.84
 20140901.220000    -4.60     2.09   141.84     0.82     0.00     3.95     4.92
 20140901.230000    -4.76     1.72   142.34     0.84     0.00     4.01     4.98
 20140902.000000    -4.89     1.34   142.85     0.85     0.00     4.06     5.01
 20140902.010000    -4.99     0.94   143.35     0.86     0.00     4.09     5.03
 20140902.020000    -5.05     0.54   143.84     0.86     0.00     4.10     5.05
 20140902.030000    -4.98     0.66   144.43     0.86     0.00     4.11     5.06
 20140902.040000    -4.90     0.78   145.10     0.86     0.00     4.10     5.06
 20140902.050000    -4.82     0.89   145.79     0.86     0.00     4.09     5.06
 20140902.060000    -4.74     1.01   146.47     0.85     0.00     4.08     5.06
 20140902.070000    -4.65     1.12   147.11     0.84     0.00     4.06     5.05
 20140902.080000    -4.56     1.24   147.70     0.84     0.00     4.04     5.04
 20140902.090000    -4.55     1.51   148.17     0.83     0.00     4.02     5.03
 20140902.100000    -4.52     1.77   148.55     0.83     0.00     4.00     5.01
 20140902.110000    -4.48     2.04   148.83     0.82     0.00     3.98     4.99
 20140902.120000    -4.43     2.29   149.03     0.82     0.00     3.96     4.98
 20140902.130000    -4.37     2.55   149.16     0.81     0.00     3.94     4.96
 20140902.140000    -4.29     2.80   149.21     0.81     0.00     3.91     4.93
 20140902.150000    -4.35     2.33   149.20     0.80     0.00     3.89     4.91
 20140902.160000    -4.39     1.83   149.05     0.79     0.00     3.87     4.89
 20140902.170000    -4.38     1.30   148.84     0.78     0.00     3.84     4.87
 20140902.180000    -4.32     0.74   148.62     0.76     0.00     3.82     4.85
 20140902.190000    -4.19     0.17   148.34     0.75     0.00     3.80     4.83
 20140902.200000    -3.99    -0.41   148.12     0.73     0.00     3.80     4.81
 20140902.210000    -4.00    -0.43   147.46     0.70     0.00     3.81     4.80
 20140902.220000    -4.02    -0.44   146.51     0.68     0.00     3.80     4.79
 20140902.230000    -4.03    -0.46   145.69     0.67     0.00     3.77     4.78
 20140903.000000    -4.04    -0.47   145.01     0.66     0.00     3.74     4.78
 20140903.010000    -4.05    -0.49   144.46     0.65     0.00     3.72     4.77
 20140903.020000    -4.06    -0.50   144.08     0.64     0.01     3.71     4.76
 20140903.030000    -3.91    -0.52   144.05     0.64     0.01     3.71     4.75
 20140903.040000    -3.77    -0.54   144.29     0.63     0.01     3.71     4.74
 20140903.050000    -3.62    -0.55   144.76     0.63     0.00     3.72     4.75
 20140903.060000    -3.47    -0.57   145.37     0.63     0.00     3.74     4.77
 20140903.070000    -3.32    -0.59   146.14     0.63     0.00     3.75     4.79
 20140903.080000    -3.17    -0.60   146.96     0.62     0.00     3.76     4.81
 20140903.090000    -3.28    -0.17   147.61     0.62     0.00     3.77     4.84
 20140903.100000    -3.34     0.29   148.12     0.62     0.00     3.76     4.87
 20140903.110000    -3.32     0.76   148.56     0.61     0.00     3.75     4.91
 20140903.120000    -3.25     1.23   148.92     0.61     0.00     3.73     4.95
 20140903.130000    -3.11     1.68   149.24     0.60     0.00     3.70     4.98
 20140903.140000    -2.91     2.11   149.76     0.60     0.00     3.68     5.01
 20140903.150000    -2.65     1.85   151.61     0.58     0.00     3.68     5.02
 20140903.160000    -2.39     1.60   153.57     0.56     0.00     3.71     5.02
 20140903.170000    -2.13     1.34   155.21     0.54     0.00     3.73     5.01
 20140903.180000    -1.87     1.08   156.99     0.52     0.00     3.78     4.99
 20140903.190000    -1.60     0.82   158.41     0.50     0.00     3.84     4.98
