  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 19960801.080000     9.28     0.89   227.00     1.62     0.20     5.30     6.64
 19960801.110000     9.04     1.44   221.70     1.71     0.20     5.38     6.71
 19960801.140000     8.76     1.99   216.83     1.78     0.22     5.57     6.96
 19960801.170000     7.91     4.20   213.26     1.80     0.23     5.62     7.10
 19960801.200000     6.45     6.18   209.24     1.81     0.24     5.61     7.09
 19960801.230000     5.16     7.47   204.00     1.85     0.28     5.67     7.09
 19960802.020000     3.63     8.48   198.51     1.91     0.33     5.79     7.19
 19960802.050000     4.04    10.01   195.43     2.06     0.34     5.77     6.81
 19960802.080000     4.46    11.54   195.39     2.39     0.29     5.86     6.63
 19960802.110000     2.66    10.01   195.03     2.33     0.24     5.89     6.83
 19960802.140000     0.78     8.29   193.67     1.96     0.16     5.57     6.80
 19960802.170000    -0.06     7.00   189.75     1.65     0.11     5.29     6.66
 19960802.200000    -0.91     5.59   185.84     1.45     0.09     5.11     6.54
 19960802.230000    -1.67     6.24   181.35     1.34     0.07     4.94     6.43
 19960803.020000    -2.41     6.83   177.49     1.30     0.07     4.78     6.23
 19960803.050000    -2.05     6.34   175.65     1.27     0.07     4.70     6.01
 19960803.080000    -1.68     5.84   175.28     1.23     0.06     4.62     5.91
 19960803.110000    -2.51     5.74   174.98     1.19     0.05     4.52     5.82
 19960803.140000    -3.31     5.53   174.01     1.16     0.04     4.43     5.61
 19960803.170000    -4.21     4.56   171.55     1.13     0.04     4.37     5.44
 19960803.200000    -4.92     3.35   167.24     1.09     0.03     4.33     5.37
 19960803.230000    -5.06     2.61   161.83     1.05     0.02     4.30     5.35
 19960804.020000    -5.12     1.83   157.49     1.02     0.02     4.23     5.37
 19960804.050000    -5.49     1.84   151.63     0.99     0.01     4.15     5.37
 19960804.080000    -5.86     1.86   146.09     0.97     0.02     4.07     5.33
 19960804.110000    -5.87     2.63   142.89     0.96     0.02     4.03     5.31
 19960804.140000    -5.82     3.36   143.00     1.00     0.02     4.12     5.37
 19960804.170000    -5.37     1.68   145.39     1.04     0.02     4.35     5.56
 19960804.200000    -4.52    -0.18   146.46     1.03     0.02     4.56     5.78
 19960804.230000    -5.15     0.39   144.21     0.99     0.02     4.55     5.84
 19960805.020000    -5.73     0.95   140.59     0.94     0.01     4.32     5.73
 19960805.050000    -5.99     1.23   136.93     0.90     0.01     4.09     5.46
 19960805.080000    -6.25     1.51   133.55     0.86     0.01     3.89     5.11
 19960805.110000    -5.91     0.97   131.83     0.82     0.02     3.77     4.80
 19960805.140000    -5.52     0.43   131.55     0.78     0.04     3.69     4.61
 19960805.170000    -5.88     1.18   133.94     0.79     0.08     3.80     4.41
 19960805.200000    -6.17     1.91   144.48     0.93     0.18     4.48     4.52
 19960805.230000    -5.34     2.28   158.04     1.18     0.34     5.58     9.84
 19960806.020000    -4.44     2.63   165.45     1.41     0.50     6.43     9.58
 19960806.050000    -3.43     1.98   169.43     1.55     0.61     6.96     9.43
 19960806.080000    -2.41     1.33   171.68     1.63     0.71     7.37     9.50
 19960806.110000    -1.79     2.48   172.71     1.68     0.78     7.65     9.56
 19960806.140000    -0.77     3.28   172.88     1.70     0.80     7.73     9.58
 19960806.170000     1.02     3.70   172.63     1.71     0.80     7.75     9.56
 19960806.200000     2.78     3.29   172.52     1.75     0.83     7.76     9.55
 19960806.230000     3.94     2.78   172.77     1.80     0.84     7.69     9.54
 19960807.020000     4.90     2.08   173.61     1.82     0.80     7.48     9.47
 19960807.050000     5.28     2.66   175.87     1.80     0.69     7.14     9.29
 19960807.080000     5.62     3.24   178.78     1.74     0.56     6.76     8.92
 19960807.110000     5.57     3.98   181.80     1.70     0.43     6.40     8.60
 19960807.140000     5.46     4.68   184.74     1.64     0.31     6.10     8.07
 19960807.170000     4.90     4.21   187.10     1.53     0.21     5.83     7.70
 19960807.200000     4.35     3.74   188.92     1.41     0.14     5.54     7.28
 19960807.230000     4.44     3.90   191.09     1.30     0.09     5.20     6.99
 19960808.020000     4.54     4.07   193.49     1.21     0.06     4.89     6.61
 19960808.050000     4.37     2.99   194.91     1.13     0.04     4.67     6.31
 19960808.080000     4.09     1.84   194.65     1.04     0.03     4.50     5.97
 19960808.110000     4.01     2.50   194.58     0.97     0.03     4.34     5.85
 19960808.140000     3.87     3.14   195.65     0.93     0.02     4.19     5.76
 19960808.170000     3.28     2.88   196.37     0.89     0.02     4.06     5.59
 19960808.200000     2.68     2.62   195.41     0.84     0.01     3.99     5.44
 19960808.230000     2.68     3.05   194.85     0.77     0.01     4.01     5.34
 19960809.020000     2.67     3.47   195.72     0.74     0.01     3.88     5.21
 19960809.050000     2.86     3.15   196.64     0.71     0.00     3.76     5.03
 19960809.080000     3.03     2.81   197.55     0.69     0.00     3.67     4.85
 19960809.110000     3.36     2.77   198.82     0.67     0.00     3.59     4.63
 19960809.140000     3.68     2.72   200.55     0.66     0.00     3.52     4.42
 19960809.170000     3.28     2.48   201.40     0.65     0.00     3.47     4.34
 19960809.200000     2.87     2.25   201.87     0.63     0.00     3.41     4.38
 19960809.230000     3.12     2.74   202.85     0.61     0.00     3.34     4.41
 19960810.020000     3.37     3.23   204.17     0.60     0.00     3.26     4.30
 19960810.050000     2.87     2.42   204.06     0.58     0.00     3.21     4.15
 19960810.080000     2.36     1.60   202.22     0.52     0.00     3.33     4.14
 19960810.110000     2.04     1.65   199.44     0.49     0.00     3.42     4.19
 19960810.140000     1.71     1.69   197.83     0.47     0.00     3.45     4.24
 19960810.170000     1.29     2.24   196.71     0.47     0.00     3.52     4.36
 19960810.200000     0.77     2.66   196.61     0.48     0.00     3.64     4.53
 19960810.230000     1.73     2.07   196.39     0.51     0.01     3.86     4.79
 19960811.020000     2.44     1.00   195.19     0.56     0.01     4.14     5.15
 19960811.050000     1.98     0.52   193.34     0.61     0.01     4.43     5.55
 19960811.080000     1.46     0.03   191.70     0.64     0.01     4.65     5.71
 19960811.110000     1.87     0.29   191.28     0.65     0.01     4.74     5.71
 19960811.140000     2.25     0.54   191.19     0.66     0.01     4.77     5.71
 19960811.170000     1.86     0.86   190.87     0.66     0.01     4.78     5.69
 19960811.200000     1.37     1.13   190.17     0.65     0.01     4.76     5.65
 19960811.230000     2.04     0.68   189.20     0.64     0.01     4.73     5.60
 19960812.020000     2.52     0.13   188.33     0.63     0.01     4.71     5.57
 19960812.050000     2.84    -0.06   187.86     0.65     0.02     4.76     5.61
 19960812.080000     3.15    -0.26   188.00     0.70     0.02     4.95     5.85
 19960812.110000     3.54     0.14   188.75     0.76     0.02     5.12     6.19
 19960812.140000     3.87     0.54   190.09     0.81     0.03     5.19     6.33
 19960812.170000     3.65     1.03   190.85     0.85     0.03     5.23     6.38
 19960812.200000     3.36     1.50   190.85     0.87     0.04     5.31     6.44
 19960812.230000     3.99     1.59   191.27     0.90     0.04     5.33     6.55
 19960813.020000     4.62     1.67   193.21     0.93     0.04     5.20     6.60
 19960813.050000     4.80     1.22   195.69     0.95     0.03     5.02     6.53
 19960813.080000     4.94     0.75   198.22     0.95     0.03     4.87     6.38
 19960813.110000     5.10     1.76   201.23     0.93     0.02     4.72     6.11
 19960813.140000     5.13     2.73   203.88     0.94     0.03     4.58     5.91
 19960813.170000     5.26     2.69   205.11     0.95     0.03     4.52     5.72
 19960813.200000     5.40     2.64   204.99     0.96     0.04     4.55     5.61
 19960813.230000     5.69     2.51   205.00     0.98     0.06     4.55     5.58
 19960814.020000     5.99     2.37   204.27     1.01     0.07     4.61     5.58
 19960814.050000     5.88     3.01   202.87     1.04     0.08     4.71     5.60
 19960814.080000     5.71     3.63   201.29     1.09     0.08     4.80     5.66
 19960814.110000     5.46     4.39   200.17     1.13     0.08     4.85     5.77
 19960814.140000     5.13     5.10   199.71     1.17     0.08     4.85     5.83
 19960814.170000     3.78     3.87   198.66     1.13     0.07     4.86     5.96
 19960814.200000     2.44     2.63   196.00     1.04     0.06     4.92     6.11
 19960814.230000     1.75     2.90   192.56     0.96     0.04     4.94     6.17
 19960815.020000     0.98     3.03   190.31     0.90     0.03     4.85     6.15
 19960815.050000     1.90     2.54   189.06     0.86     0.03     4.70     6.07
 19960815.080000     2.66     1.72   188.83     0.82     0.02     4.53     5.96
 19960815.110000     2.86     2.63   189.61     0.78     0.02     4.35     5.84
 19960815.140000     3.00     3.48   191.54     0.76     0.02     4.17     5.70
 19960815.170000     2.80     2.88   192.51     0.73     0.02     4.07     5.54
 19960815.200000     2.59     2.26   192.76     0.71     0.02     4.00     5.43
 19960815.230000     2.44     2.98   193.46     0.69     0.01     3.92     5.35
 19960816.020000     2.23     3.64   194.71     0.68     0.01     3.82     5.27
 19960816.050000     2.17     2.82   195.67     0.67     0.01     3.78     5.11
 19960816.080000     2.08     1.95   195.91     0.64     0.01     3.79     4.98
 19960816.110000     1.74     3.46   196.98     0.64     0.01     3.80     4.97
 19960816.140000     1.23     4.73   198.19     0.66     0.01     3.76     5.04
 19960816.170000     1.88     4.46   199.26     0.67     0.01     3.75     5.08
 19960816.200000     2.51     4.09   200.58     0.67     0.00     3.74     5.10
 19960816.230000     2.12     3.51   201.22     0.65     0.00     3.73     5.07
 19960817.020000     1.73     2.92   201.58     0.63     0.00     3.71     5.06
 19960817.050000     1.20     3.29   202.10     0.62     0.00     3.67     5.07
 19960817.080000     0.62     3.56   202.62     0.60     0.00     3.62     5.06
 19960817.110000     0.84     3.65   202.99     0.59     0.00     3.54     5.02
 19960817.140000     1.06     3.72   203.00     0.57     0.00     3.43     4.97
 19960817.170000     1.38     3.75   202.79     0.55     0.00     3.30     4.88
 19960817.200000     1.68     3.76   202.74     0.52     0.00     3.17     4.75
 19960817.230000     1.00     2.53   201.46     0.48     0.00     3.14     4.41
 19960818.020000     0.32     1.29   199.08     0.41     0.00     3.41     4.37
 19960818.050000    -0.49     1.72   198.05     0.38     0.00     3.56     4.39
 19960818.080000    -1.29     1.85   197.31     0.36     0.00     3.63     4.42
 19960818.110000    -0.39     2.59   197.11     0.36     0.00     3.62     4.46
 19960818.140000     0.67     2.90   198.32     0.38     0.00     3.53     4.49
 19960818.170000     0.15     2.14   199.45     0.37     0.00     3.51     4.52
 19960818.200000    -0.39     1.24   200.07     0.35     0.00     3.64     4.50
 19960818.230000    -0.92     0.75   198.78     0.33     0.00     3.68     4.45
 19960819.020000    -1.01    -0.37   195.62     0.30     0.00     3.66     4.39
 19960819.050000    -1.06    -0.77   190.81     0.29     0.00     3.63     4.31
 19960819.080000    -1.07    -1.13   184.83     0.27     0.00     3.59     4.22
 19960819.110000    -1.23    -1.26   177.44     0.26     0.00     3.54     4.14
 19960819.140000    -1.40    -1.38   164.27     0.26     0.00     3.36     4.08
 19960819.170000    -1.48    -0.60   155.31     0.27     0.00     3.39     4.05
 19960819.200000    -1.13     0.44   150.58     0.28     0.00     3.57     4.13
 19960819.230000    -1.36    -0.26   147.04     0.31     0.00     3.82     4.40
 19960820.020000    -1.20    -0.99   144.56     0.35     0.00     4.18     4.74
 19960820.050000    -1.44    -1.14   142.33     0.40     0.01     4.57     5.11
 19960820.080000    -1.68    -1.29   139.30     0.46     0.02     4.85     5.78
 19960820.110000    -2.29    -1.52   137.22     0.58     0.03     5.17     6.39
 19960820.140000    -2.89    -1.75   137.00     0.75     0.06     5.57     6.73
 19960820.170000    -3.68    -0.58   136.07     0.86     0.10     5.74     6.85
 19960820.200000    -4.00     0.73   134.99     0.92     0.15     5.79     7.01
 19960820.230000    -4.28     0.89   134.09     0.96     0.19     5.79     7.22
 19960821.020000    -4.56     1.04   133.48     0.98     0.19     5.65     7.33
 19960821.050000    -4.53     0.31   133.87     0.99     0.16     5.48     7.20
 19960821.080000    -4.39    -0.44   135.26     0.98     0.12     5.32     6.84
 19960821.110000    -4.41     0.51   137.66     0.97     0.09     5.20     6.53
 19960821.140000    -4.21     1.46   140.60     0.96     0.07     5.13     6.44
 19960821.170000    -3.25     2.16   143.32     0.93     0.06     5.06     6.33
 19960821.200000    -1.98     2.70   145.16     0.87     0.04     4.92     6.12
 19960821.230000    -1.52     2.66   147.33     0.79     0.02     4.75     5.94
 19960822.020000    -1.03     2.58   149.30     0.73     0.02     4.54     5.79
 19960822.050000    -0.40     2.45   152.18     0.68     0.03     4.44     5.57
 19960822.080000     0.27     2.16   156.42     0.65     0.03     4.46     5.44
 19960822.110000     0.56     2.17   162.50     0.63     0.03     4.66     5.41
 19960822.140000     0.85     2.14   167.21     0.63     0.03     4.79     5.44
 19960822.170000     1.90     2.07   171.06     0.63     0.02     4.79     5.52
 19960822.200000     2.80     1.76   175.06     0.63     0.02     4.70     6.25
 19960822.230000     2.50     1.45   177.75     0.63     0.02     4.65     6.35
 19960823.020000     2.18     1.14   179.41     0.61     0.01     4.63     6.27
 19960823.050000     3.35     0.67   182.09     0.61     0.01     4.55     6.17
 19960823.080000     4.35     0.16   190.06     0.63     0.01     4.23     6.11
