  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20010501.080000     0.95    -3.25   196.78     0.41     0.00     3.19     4.52
 20010501.110000     0.43    -2.15   193.91     0.40     0.00     3.16     4.48
 20010501.140000    -0.09    -1.05   178.58     0.37     0.00     3.31     4.44
 20010501.170000    -1.51    -2.28   160.84     0.36     0.00     3.33     4.36
 20010501.200000    -2.92    -3.50    93.58     0.43     0.00     2.94     4.18
 20010501.230000    -2.83    -2.55    78.91     0.47     0.00     3.03     3.52
 20010502.020000    -2.73    -1.60    76.61     0.47     0.00     3.24     3.95
 20010502.050000    -2.90    -2.48    73.01     0.50     0.00     3.40     4.15
 20010502.080000    -3.07    -3.36    68.87     0.55     0.00     3.47     4.28
 20010502.110000    -2.74    -2.21    68.62     0.56     0.00     3.58     4.38
 20010502.140000    -2.41    -1.05    70.70     0.55     0.00     3.68     4.49
 20010502.170000    -4.66    -1.26    73.25     0.56     0.00     3.51     4.52
 20010502.200000    -6.91    -1.47    74.31     0.72     0.00     3.32     3.77
 20010502.230000    -5.72    -1.99    75.41     0.77     0.00     3.51     4.18
 20010503.020000    -4.53    -2.51    76.52     0.73     0.00     3.49     4.27
 20010503.050000    -4.13    -2.10    75.87     0.65     0.00     3.38     4.24
 20010503.080000    -3.74    -1.69    75.48     0.59     0.00     3.22     4.15
 20010503.110000    -2.79    -1.07    76.74     0.51     0.00     3.29     4.08
 20010503.140000    -1.82    -0.47    78.85     0.45     0.00     3.46     4.08
 20010503.170000    -3.95    -1.30    77.51     0.45     0.01     3.40     4.15
 20010503.200000    -6.07    -2.12    75.31     0.61     0.01     3.10     3.21
 20010503.230000    -4.87    -2.56    74.38     0.66     0.01     3.29     3.98
 20010504.020000    -3.68    -2.99    74.94     0.65     0.02     3.35     4.14
 20010504.050000    -4.53    -2.63    73.68     0.63     0.02     3.33     4.11
 20010504.080000    -5.37    -2.28    74.22     0.64     0.02     3.30     4.02
 20010504.110000    -3.66    -0.66    77.69     0.60     0.02     3.39     4.10
 20010504.140000    -1.94     0.95    81.07     0.52     0.02     3.60     4.19
 20010504.170000    -2.64     0.94    83.02     0.48     0.02     3.72     4.23
 20010504.200000    -3.33     0.92    86.86     0.47     0.02     3.70     4.26
 20010504.230000    -2.54     2.79    95.15     0.49     0.01     3.66     4.33
 20010505.020000    -1.74     4.65   114.86     0.58     0.01     3.43     4.26
 20010505.050000    -0.80     3.95   123.80     0.61     0.01     3.48     3.85
 20010505.080000     0.14     3.25   128.00     0.60     0.01     3.65     4.11
 20010505.110000     1.38     3.36   132.44     0.61     0.01     3.76     4.40
 20010505.140000     2.63     3.46   139.06     0.63     0.01     3.78     4.63
 20010505.170000     1.93     3.19   142.64     0.63     0.01     3.78     4.71
 20010505.200000     1.22     2.91   143.91     0.61     0.01     3.75     4.74
 20010505.230000     2.42     2.77   147.38     0.58     0.01     3.64     4.73
 20010506.020000     3.63     2.63   157.75     0.57     0.01     3.48     4.69
 20010506.050000     3.12     1.68   164.87     0.54     0.01     3.41     4.63
 20010506.080000     2.61     0.73   164.97     0.48     0.02     3.43     4.58
 20010506.110000     3.48     1.68   173.50     0.45     0.02     3.32     4.54
 20010506.140000     4.35     2.64   201.59     0.50     0.02     3.00     3.14
 20010506.170000     3.85     3.00   210.80     0.53     0.02     3.00     3.30
 20010506.200000     3.37     3.36   214.09     0.52     0.02     2.99     3.46
 20010506.230000     3.63     3.41   216.21     0.52     0.02     2.97     3.51
 20010507.020000     3.90     3.45   217.44     0.53     0.02     2.97     3.54
 20010507.050000     3.92     2.96   218.14     0.52     0.01     2.96     3.56
 20010507.080000     3.93     2.47   219.70     0.50     0.01     2.91     3.54
 20010507.110000     4.69     2.90   222.08     0.51     0.01     2.87     3.43
 20010507.140000     5.43     3.35   223.56     0.57     0.01     3.00     3.37
 20010507.170000     4.86     3.98   221.94     0.64     0.01     3.19     3.58
 20010507.200000     4.29     4.61   220.63     0.67     0.00     3.28     3.78
 20010507.230000     3.82     3.95   220.32     0.64     0.00     3.26     3.88
 20010508.020000     3.35     3.29   219.79     0.59     0.00     3.16     3.87
 20010508.050000     4.11     2.26   220.10     0.54     0.00     3.04     3.79
 20010508.080000     4.87     1.21   222.71     0.52     0.00     2.94     3.68
 20010508.110000     4.75     0.97   224.28     0.51     0.00     2.91     3.59
 20010508.140000     4.64     0.73   225.22     0.51     0.00     2.92     3.54
 20010508.170000     2.82     0.23   221.91     0.46     0.00     3.13     3.68
 20010508.200000     1.00    -0.25   214.84     0.41     0.00     3.51     3.94
 20010508.230000     0.47    -0.18   210.90     0.40     0.00     3.75     4.11
 20010509.020000    -0.05    -0.12   208.84     0.39     0.01     3.91     4.25
 20010509.050000    -0.29     0.83   207.83     0.38     0.01     4.02     4.34
 20010509.080000    -0.53     1.78   207.18     0.38     0.01     4.08     4.41
 20010509.110000    -0.63     1.74   206.38     0.38     0.01     4.08     4.47
 20010509.140000    -0.73     1.71   204.91     0.39     0.01     4.05     4.51
 20010509.170000    -0.50     2.29   199.90     0.42     0.01     3.95     4.52
 20010509.200000    -0.27     2.87   187.21     0.45     0.01     3.81     4.50
 20010509.230000     0.84     0.63   168.91     0.46     0.00     3.89     4.46
 20010510.020000     1.94    -1.61   155.90     0.46     0.01     3.94     4.43
 20010510.050000    -1.63    -4.32   100.42     0.51     0.01     3.49     4.41
 20010510.080000    -5.19    -7.03    54.12     0.81     0.00     3.27     3.48
 20010510.110000    -4.98    -6.89    58.75     1.14     0.00     4.06     4.65
 20010510.140000    -4.76    -6.76    59.79     1.29     0.01     4.48     5.38
 20010510.170000    -6.23    -7.60    58.25     1.42     0.01     4.62     5.45
 20010510.200000    -7.69    -8.44    58.76     1.74     0.02     4.90     5.61
 20010510.230000    -7.39    -8.58    59.23     1.89     0.04     5.10     5.96
 20010511.020000    -7.08    -8.72    57.87     1.82     0.04     4.95     5.85
 20010511.050000    -6.54    -9.26    55.87     1.74     0.02     4.75     5.53
 20010511.080000    -5.99    -9.78    54.80     1.73     0.02     4.74     5.51
 20010511.110000    -7.28    -8.41    57.29     1.80     0.03     4.91     5.73
 20010511.140000    -8.57    -7.04    59.42     1.85     0.04     5.01     5.90
 20010511.170000    -9.07    -7.22    60.21     1.94     0.04     5.10     5.92
