  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20111101.080000    -5.52    -8.65    58.16     1.82     0.07     4.95     5.99
 20111101.090000    -5.73    -8.39    57.33     1.76     0.07     4.87     5.92
 20111101.100000    -5.94    -8.11    56.95     1.71     0.06     4.81     5.83
 20111101.110000    -6.15    -7.83    56.81     1.67     0.06     4.75     5.72
 20111101.120000    -6.35    -7.54    57.01     1.65     0.06     4.71     5.63
 20111101.130000    -6.54    -7.24    57.39     1.62     0.05     4.67     5.58
 20111101.140000    -6.72    -6.93    57.81     1.60     0.05     4.65     5.55
 20111101.150000    -6.98    -6.81    58.24     1.59     0.05     4.62     5.51
 20111101.160000    -7.23    -6.68    58.70     1.59     0.05     4.61     5.49
 20111101.170000    -7.48    -6.56    59.22     1.60     0.04     4.63     5.49
 20111101.180000    -7.72    -6.42    59.76     1.62     0.04     4.65     5.51
 20111101.190000    -7.96    -6.28    60.34     1.64     0.04     4.70     5.54
 20111101.200000    -8.20    -6.14    60.88     1.67     0.04     4.75     5.58
 20111101.210000    -8.22    -6.52    61.12     1.70     0.04     4.81     5.64
 20111101.220000    -8.25    -6.88    61.14     1.75     0.05     4.88     5.70
 20111101.230000    -8.27    -7.25    61.01     1.79     0.05     4.95     5.78
 20111102.000000    -8.27    -7.62    60.78     1.84     0.05     5.02     5.86
 20111102.010000    -8.28    -7.97    60.47     1.89     0.05     5.09     5.93
 20111102.020000    -8.29    -8.32    60.10     1.94     0.06     5.16     5.98
 20111102.030000    -7.84    -8.23    59.88     1.95     0.06     5.21     6.04
 20111102.040000    -7.38    -8.13    59.72     1.93     0.07     5.21     6.09
 20111102.050000    -6.92    -8.03    59.53     1.89     0.07     5.18     6.12
 20111102.060000    -6.46    -7.92    59.37     1.84     0.07     5.11     6.11
 20111102.070000    -5.98    -7.80    59.25     1.78     0.07     5.02     6.10
 20111102.080000    -5.51    -7.68    59.17     1.71     0.06     4.93     6.06
 20111102.090000    -5.70    -7.17    59.24     1.65     0.06     4.83     6.00
 20111102.100000    -5.88    -6.64    59.52     1.59     0.05     4.73     5.91
 20111102.110000    -6.05    -6.09    60.28     1.54     0.04     4.66     5.82
 20111102.120000    -6.19    -5.52    61.52     1.48     0.04     4.61     5.72
 20111102.130000    -6.32    -4.92    62.84     1.41     0.03     4.56     5.67
 20111102.140000    -6.41    -4.30    64.07     1.35     0.03     4.52     5.63
 20111102.150000    -6.59    -4.26    65.03     1.31     0.02     4.46     5.58
 20111102.160000    -6.77    -4.22    65.83     1.29     0.02     4.41     5.50
 20111102.170000    -6.96    -4.19    66.49     1.28     0.02     4.37     5.39
 20111102.180000    -7.13    -4.15    67.01     1.27     0.01     4.35     5.27
 20111102.190000    -7.31    -4.11    67.42     1.27     0.01     4.33     5.17
 20111102.200000    -7.49    -4.08    67.77     1.28     0.01     4.34     5.14
 20111102.210000    -7.49    -4.41    67.83     1.29     0.01     4.35     5.14
 20111102.220000    -7.50    -4.75    67.66     1.31     0.01     4.39     5.17
 20111102.230000    -7.50    -5.07    67.34     1.34     0.01     4.43     5.22
 20111103.000000    -7.49    -5.40    66.94     1.37     0.01     4.49     5.30
 20111103.010000    -7.48    -5.71    66.50     1.41     0.01     4.55     5.37
 20111103.020000    -7.45    -6.03    66.06     1.44     0.01     4.61     5.42
 20111103.030000    -7.34    -6.27    65.67     1.47     0.01     4.66     5.47
 20111103.040000    -7.23    -6.52    65.24     1.49     0.01     4.70     5.51
 20111103.050000    -7.10    -6.76    64.74     1.50     0.01     4.72     5.54
 20111103.060000    -6.97    -6.99    64.12     1.51     0.01     4.72     5.54
 20111103.070000    -6.83    -7.21    63.40     1.51     0.01     4.71     5.53
 20111103.080000    -6.69    -7.44    62.62     1.51     0.01     4.69     5.51
 20111103.090000    -6.81    -7.29    62.05     1.50     0.01     4.67     5.49
 20111103.100000    -6.94    -7.15    61.64     1.49     0.01     4.65     5.46
 20111103.110000    -7.05    -7.00    61.36     1.49     0.01     4.64     5.44
 20111103.120000    -7.16    -6.85    61.20     1.49     0.01     4.63     5.42
 20111103.130000    -7.27    -6.70    61.14     1.49     0.01     4.63     5.42
 20111103.140000    -7.38    -6.54    61.18     1.49     0.01     4.64     5.43
