  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20141001.080000    -5.25    -6.09    64.33     1.53     0.05     4.88     6.10
 20141001.090000    -5.72    -6.10    63.57     1.50     0.06     4.81     6.12
 20141001.100000    -6.19    -6.09    62.96     1.49     0.06     4.76     6.01
 20141001.110000    -6.65    -6.08    62.64     1.50     0.06     4.74     5.79
 20141001.120000    -7.09    -6.05    62.59     1.53     0.06     4.75     5.65
 20141001.130000    -7.54    -6.02    62.78     1.57     0.06     4.81     5.63
 20141001.140000    -7.98    -5.97    63.17     1.63     0.06     4.89     5.68
 20141001.150000    -8.09    -5.66    63.77     1.68     0.06     4.98     5.79
 20141001.160000    -8.21    -5.35    64.41     1.70     0.07     5.05     5.92
 20141001.170000    -8.31    -5.03    64.98     1.71     0.07     5.07     5.98
 20141001.180000    -8.40    -4.70    65.49     1.70     0.08     5.07     6.00
 20141001.190000    -8.49    -4.36    66.00     1.69     0.08     5.06     5.99
 20141001.200000    -8.56    -4.02    66.53     1.66     0.08     5.02     5.96
 20141001.210000    -8.45    -4.08    66.92     1.64     0.08     4.98     5.90
 20141001.220000    -8.33    -4.13    67.19     1.61     0.07     4.94     5.83
 20141001.230000    -8.22    -4.18    67.41     1.59     0.07     4.89     5.76
 20141002.000000    -8.10    -4.23    67.54     1.57     0.06     4.84     5.70
 20141002.010000    -7.98    -4.27    67.62     1.55     0.06     4.79     5.66
 20141002.020000    -7.86    -4.32    67.64     1.52     0.05     4.75     5.63
 20141002.030000    -7.33    -4.38    67.62     1.48     0.05     4.69     5.63
 20141002.040000    -6.78    -4.43    67.59     1.44     0.04     4.63     5.65
 20141002.050000    -6.23    -4.47    67.65     1.39     0.03     4.57     5.66
 20141002.060000    -5.66    -4.51    67.71     1.34     0.03     4.49     5.66
 20141002.070000    -5.07    -4.53    68.38     1.28     0.02     4.46     5.66
 20141002.080000    -4.46    -4.54    68.82     1.21     0.02     4.44     5.67
 20141002.090000    -4.55    -3.92    69.39     1.15     0.01     4.40     5.66
 20141002.100000    -4.62    -3.27    70.47     1.10     0.01     4.37     5.63
