  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20050101.080000    -3.94    -9.91   248.31     0.60     0.00     2.55     2.81
 20050101.110000    -5.35    -9.60   267.56     0.74     0.00     3.10     4.02
 20050101.140000    -6.75    -9.28    34.54     1.16     0.00     3.61     3.96
 20050101.170000    -7.27    -8.31    54.62     1.66     0.01     4.63     5.24
 20050101.200000    -7.78    -7.34    61.16     1.91     0.05     5.18     6.04
 20050101.230000    -7.63    -8.60    60.38     2.09     0.12     5.47     6.45
 20050102.020000    -7.48    -9.86    58.27     2.17     0.16     5.52     6.41
 20050102.050000    -5.52    -9.58    56.17     2.00     0.12     5.28     6.23
 20050102.080000    -3.56    -9.30    53.35     1.72     0.07     4.88     5.97
 20050102.110000    -4.02    -7.68    52.98     1.45     0.05     4.59     5.74
 20050102.140000    -4.48    -6.06    56.85     1.23     0.05     4.36     5.56
 20050102.170000    -4.89    -4.75    62.34     1.10     0.06     4.24     5.36
 20050102.200000    -5.31    -3.43    66.26     1.03     0.06     4.15     5.14
 20050102.230000    -5.58    -3.77    68.26     1.01     0.07     4.09     5.00
 20050103.020000    -5.86    -4.11    68.80     1.02     0.07     4.08     4.97
 20050103.050000    -5.42    -5.48    67.70     1.04     0.06     4.08     4.92
 20050103.080000    -4.98    -6.84    64.08     1.09     0.05     4.06     4.77
 20050103.110000    -4.26    -6.21    63.18     1.05     0.05     4.02     4.92
 20050103.140000    -3.54    -5.57    63.31     0.97     0.04     3.90     4.93
 20050103.170000    -3.65    -5.16    64.38     0.91     0.03     3.80     4.83
 20050103.200000    -3.77    -4.75    66.04     0.87     0.03     3.72     4.68
 20050103.230000    -2.99    -4.71    66.32     0.82     0.02     3.63     4.55
 20050104.020000    -2.21    -4.68    65.12     0.75     0.02     3.57     4.48
 20050104.050000    -3.60    -6.11    59.57     0.77     0.02     3.48     4.04
 20050104.080000    -4.98    -7.54    57.13     0.96     0.01     3.68     4.13
 20050104.110000    -5.41    -7.20    62.96     1.20     0.01     4.19     4.87
 20050104.140000    -5.84    -6.86    64.96     1.33     0.01     4.52     5.33
 20050104.170000    -7.44    -7.19    64.67     1.54     0.02     4.77     5.52
 20050104.200000    -9.04    -7.53    64.68     1.94     0.04     5.16     5.96
 20050104.230000    -8.14    -7.42    63.54     2.08     0.11     5.44     6.43
 20050105.020000    -7.23    -7.32    62.33     1.96     0.15     5.34     6.40
 20050105.050000    -7.63    -8.39    60.96     1.94     0.14     5.20     6.02
 20050105.080000    -8.03    -9.46    59.85     2.07     0.11     5.32     6.08
 20050105.110000    -6.74    -8.65    59.96     2.02     0.11     5.33     6.27
 20050105.140000    -5.45    -7.83    60.23     1.81     0.10     5.11     6.23
 20050105.170000    -5.93    -6.90    60.87     1.63     0.08     4.92     6.04
 20050105.200000    -6.42    -5.96    62.06     1.51     0.06     4.70     5.77
 20050105.230000    -4.87    -5.83    63.00     1.33     0.04     4.49     5.62
 20050106.020000    -3.32    -5.70    62.90     1.16     0.04     4.34     5.50
 20050106.050000    -3.10    -6.64    60.46     1.09     0.03     4.18     5.37
 20050106.080000    -2.88    -7.57    57.48     1.09     0.03     4.10     5.19
 20050106.110000    -3.92    -6.81    57.94     1.09     0.03     4.09     5.16
 20050106.140000    -4.96    -6.06    59.67     1.08     0.02     4.07     5.15
 20050106.170000    -6.20    -5.57    61.68     1.12     0.02     4.10     4.96
 20050106.200000    -7.44    -5.09    64.46     1.25     0.01     4.30     5.02
 20050106.230000    -7.01    -6.42    64.12     1.40     0.01     4.58     5.38
 20050107.020000    -6.58    -7.75    61.64     1.50     0.01     4.69     5.51
 20050107.050000    -6.88    -8.95    58.88     1.66     0.02     4.79     5.56
 20050107.080000    -7.16   -10.14    56.81     1.92     0.03     5.05     5.83
 20050107.110000    -6.80    -8.56    57.33     1.94     0.05     5.13     6.04
 20050107.140000    -6.44    -6.98    58.92     1.71     0.05     4.92     6.00
 20050107.170000    -7.54    -6.26    61.01     1.61     0.04     4.74     5.66
 20050107.200000    -8.65    -5.53    63.30     1.69     0.03     4.85     5.69
 20050107.230000    -8.10    -7.38    62.87     1.87     0.06     5.17     6.05
 20050108.020000    -7.57    -9.21    60.43     2.08     0.11     5.42     6.36
 20050108.050000    -7.59   -10.01    58.64     2.25     0.16     5.61     6.52
 20050108.080000    -7.60   -10.80    56.91     2.39     0.20     5.74     6.64
 20050108.110000    -8.46    -9.80    57.12     2.48     0.25     5.83     6.73
 20050108.140000    -9.32    -8.82    58.01     2.51     0.28     5.86     6.72
 20050108.170000    -8.97    -8.76    58.29     2.47     0.26     5.81     6.68
 20050108.200000    -8.62    -8.70    58.49     2.41     0.23     5.74     6.67
 20050108.230000    -7.98    -9.22    58.32     2.40     0.27     5.77     6.72
 20050109.020000    -7.34    -9.74    57.75     2.38     0.30     5.76     6.67
 20050109.050000    -7.11    -9.83    57.21     2.33     0.26     5.66     6.58
 20050109.080000    -6.88    -9.93    56.68     2.27     0.21     5.56     6.52
 20050109.110000    -6.73    -9.58    56.57     2.21     0.20     5.49     6.47
 20050109.140000    -6.57    -9.23    56.70     2.18     0.22     5.47     6.45
 20050109.170000    -8.43    -9.21    57.26     2.33     0.25     5.64     6.49
 20050109.200000   -10.29    -9.17    58.86     2.67     0.34     6.02     6.79
 20050109.230000    -8.57    -8.65    59.36     2.61     0.41     6.08     7.10
 20050110.020000    -6.85    -8.13    59.29     2.26     0.35     5.72     6.69
 20050110.050000    -7.00    -8.78    58.76     2.08     0.25     5.36     6.17
 20050110.080000    -7.14    -9.43    58.25     2.09     0.16     5.28     6.13
 20050110.110000    -7.42    -8.70    58.64     2.10     0.14     5.32     6.30
 20050110.140000    -7.70    -7.97    59.20     2.07     0.15     5.30     6.30
 20050110.170000    -8.33    -8.34    59.43     2.13     0.16     5.35     6.22
 20050110.200000    -8.97    -8.71    59.62     2.29     0.19     5.58     6.44
 20050110.230000    -8.06    -8.72    59.16     2.30     0.21     5.65     6.63
 20050111.020000    -7.16    -8.73    58.35     2.15     0.17     5.43     6.49
 20050111.050000    -5.36    -9.04    56.88     1.93     0.12     5.10     6.17
 20050111.080000    -3.56    -9.35    53.18     1.71     0.08     4.86     5.96
 20050111.110000    -3.79    -8.06    52.31     1.52     0.06     4.69     5.85
 20050111.140000    -4.02    -6.77    55.06     1.32     0.05     4.50     5.78
 20050111.170000    -5.42    -6.07    57.46     1.22     0.04     4.29     5.38
 20050111.200000    -6.81    -5.37    61.24     1.25     0.03     4.27     5.01
 20050111.230000    -5.63    -5.96    63.76     1.30     0.03     4.45     5.40
 20050112.020000    -4.44    -6.55    63.53     1.32     0.03     4.56     5.70
 20050112.050000    -5.02    -8.00    61.34     1.40     0.03     4.62     5.66
 20050112.080000    -5.61    -9.46    58.16     1.64     0.04     4.83     5.64
 20050112.110000    -5.49    -8.02    58.26     1.74     0.06     5.04     6.02
 20050112.140000    -5.36    -6.58    59.66     1.63     0.08     5.01     6.18
 20050112.170000    -6.37    -6.80    60.62     1.60     0.10     4.93     6.00
 20050112.200000    -7.37    -7.03    61.37     1.74     0.12     5.12     5.99
 20050112.230000    -6.99    -7.34    61.44     1.89     0.19     5.45     6.35
 20050113.020000    -6.61    -7.65    61.12     1.91     0.26     5.55     6.41
 20050113.050000    -5.18    -8.90    59.70     1.86     0.23     5.42     6.19
 20050113.080000    -3.76   -10.15    56.62     1.85     0.17     5.27     6.14
 20050113.110000    -2.26    -9.28    54.57     1.76     0.15     5.19     6.27
 20050113.140000    -0.78    -8.41    52.89     1.61     0.15     5.02     6.30
 20050113.170000    -2.65    -9.26    50.03     1.54     0.13     4.83     5.93
 20050113.200000    -4.53   -10.10    51.52     1.68     0.11     4.92     5.65
 20050113.230000    -2.47    -9.98    52.55     1.76     0.12     5.16     6.13
 20050114.020000    -0.40    -9.86    49.20     1.70     0.15     5.10     6.22
 20050114.050000    -0.33    -9.46    45.24     1.61     0.14     4.90     5.91
 20050114.080000    -0.26    -9.07    42.27     1.49     0.10     4.66     5.56
 20050114.110000    -0.98    -8.08    42.51     1.36     0.07     4.45     5.42
 20050114.140000    -1.71    -7.08    46.79     1.22     0.07     4.44     5.52
 20050114.170000    -1.58    -6.28    50.25     1.14     0.07     4.43     5.62
 20050114.200000    -1.46    -5.49    53.30     1.08     0.07     4.42     5.67
 20050114.230000    -2.90    -7.31    52.46     1.08     0.07     4.30     5.33
 20050115.020000    -4.34    -9.12    51.99     1.30     0.07     4.36     4.86
 20050115.050000    -4.43    -8.87    55.35     1.50     0.06     4.70     5.47
 20050115.080000    -4.52    -8.63    55.96     1.56     0.07     4.85     5.74
 20050115.110000    -4.75    -8.45    55.84     1.58     0.08     4.92     5.84
 20050115.140000    -4.99    -8.27    56.09     1.59     0.09     4.94     5.84
 20050115.170000    -6.38    -6.72    58.17     1.59     0.09     4.95     5.80
 20050115.200000    -7.78    -5.19    61.60     1.62     0.09     4.96     5.76
 20050115.230000    -7.40    -6.77    62.55     1.71     0.09     5.07     5.90
 20050116.020000    -7.02    -8.34    61.56     1.84     0.10     5.23     6.07
 20050116.050000    -6.38    -9.13    59.96     1.94     0.11     5.33     6.22
 20050116.080000    -5.74    -9.90    57.63     1.97     0.12     5.31     6.22
 20050116.110000    -6.01    -9.01    56.92     1.92     0.12     5.23     6.15
 20050116.140000    -6.29    -8.11    57.50     1.84     0.10     5.11     6.07
 20050116.170000    -6.69    -7.05    59.59     1.75     0.09     5.01     5.99
 20050116.200000    -7.11    -5.99    62.06     1.66     0.08     4.92     5.91
 20050116.230000    -7.53    -6.55    62.99     1.66     0.07     4.87     5.73
 20050117.020000    -7.94    -7.11    63.09     1.75     0.07     4.97     5.81
 20050117.050000    -7.42    -7.48    62.76     1.79     0.08     5.07     5.98
 20050117.080000    -6.89    -7.85    62.03     1.76     0.08     5.02     5.96
 20050117.110000    -7.73    -7.52    61.84     1.76     0.08     4.98     5.82
 20050117.140000    -8.57    -7.20    62.53     1.83     0.08     5.05     5.85
 20050117.170000    -8.31    -6.48    63.40     1.81     0.09     5.05     5.93
 20050117.200000    -8.06    -5.76    63.98     1.71     0.09     4.91     5.85
 20050117.230000    -6.89    -5.81    64.01     1.57     0.09     4.70     5.70
 20050118.020000    -5.74    -5.87    63.88     1.39     0.08     4.52     5.61
 20050118.050000    -5.34    -5.46    64.63     1.24     0.06     4.36     5.53
 20050118.080000    -4.96    -5.04    65.32     1.15     0.05     4.18     5.37
 20050118.110000    -5.40    -5.07    65.34     1.07     0.04     4.05     5.15
 20050118.140000    -5.84    -5.10    66.30     1.04     0.03     3.94     4.87
 20050118.170000    -5.32    -3.99    68.57     0.98     0.03     3.86     4.90
 20050118.200000    -4.79    -2.88    73.02     0.87     0.03     3.82     4.86
 20050118.230000    -4.05    -3.04    75.06     0.80     0.03     3.73     4.83
 20050119.020000    -3.31    -3.20    75.86     0.75     0.03     3.66     4.78
 20050119.050000    -4.26    -4.52    73.17     0.75     0.03     3.57     4.54
 20050119.080000    -5.20    -5.86    66.62     0.84     0.02     3.56     3.90
 20050119.110000    -5.21    -5.13    66.95     0.91     0.02     3.74     4.33
 20050119.140000    -5.20    -4.40    68.00     0.93     0.02     3.85     4.75
 20050119.170000    -6.35    -5.38    67.18     1.02     0.02     3.97     4.70
 20050119.200000    -7.49    -6.35    67.37     1.30     0.02     4.34     5.00
 20050119.230000    -7.27    -6.75    67.30     1.54     0.02     4.74     5.50
 20050120.020000    -7.05    -7.15    65.58     1.65     0.04     4.96     5.81
 20050120.050000    -7.15    -7.61    63.75     1.73     0.06     5.10     5.95
 20050120.080000    -7.26    -8.06    62.39     1.80     0.06     5.18     6.00
 20050120.110000    -7.59    -7.53    62.04     1.81     0.06     5.20     6.04
 20050120.140000    -7.90    -7.01    62.29     1.79     0.06     5.16     6.01
 20050120.170000    -8.05    -7.23    62.39     1.80     0.06     5.15     5.95
 20050120.200000    -8.20    -7.45    62.58     1.87     0.06     5.24     6.01
