  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20050901.080000     9.05    -5.57   293.93     1.71     0.26     5.06     5.42
 20050901.110000     9.52    -1.92   269.92     1.73     0.24     5.07     5.77
 20050901.140000     9.98     1.73   249.18     1.71     0.25     5.04     5.85
 20050901.170000     8.98     3.96   230.07     1.70     0.25     5.06     6.08
 20050901.200000     7.97     6.18   217.93     1.71     0.21     5.03     6.13
 20050901.230000     5.11     7.90   208.73     1.63     0.14     4.94     6.04
 20050902.020000     2.24     9.62   200.31     1.61     0.08     4.80     5.60
 20050902.050000     2.55     9.45   195.86     1.62     0.05     4.79     5.57
 20050902.080000     2.85     9.29   194.26     1.64     0.03     4.81     5.61
 20050902.110000     1.52     8.59   192.82     1.56     0.02     4.72     5.63
 20050902.140000     0.20     7.90   188.48     1.38     0.02     4.55     5.56
 20050902.170000    -1.01     5.82   181.67     1.20     0.02     4.46     5.50
 20050902.200000    -2.20     3.75   175.94     1.05     0.02     4.51     5.48
 20050902.230000    -2.29     4.48   171.26     0.98     0.02     4.45     5.45
 20050903.020000    -2.36     5.20   167.74     0.95     0.01     4.33     5.38
 20050903.050000    -2.42     4.32   165.70     0.93     0.01     4.29     5.30
 20050903.080000    -2.48     3.45   164.15     0.91     0.01     4.28     5.27
 20050903.110000    -2.51     2.86   162.60     0.88     0.01     4.28     5.25
 20050903.140000    -2.53     2.27   162.03     0.84     0.01     4.33     5.24
 20050903.170000    -3.74     1.65   161.01     0.81     0.02     4.36     5.25
 20050903.200000    -4.95     1.03   157.69     0.83     0.02     4.32     5.34
 20050903.230000    -3.59     0.01   157.98     0.85     0.02     4.45     5.45
 20050904.020000    -2.23    -1.00   161.18     0.86     0.03     4.67     5.54
 20050904.050000    -3.86    -4.01   154.26     0.90     0.03     4.59     5.58
 20050904.080000    -5.49    -7.03    99.92     1.12     0.04     4.10     5.45
 20050904.110000    -5.93    -5.32    79.78     1.18     0.04     4.18     5.22
 20050904.140000    -6.37    -3.60    77.35     1.13     0.05     4.18     5.20
 20050904.170000    -5.81    -3.08    77.15     1.08     0.06     4.14     5.20
 20050904.200000    -5.25    -2.54    80.27     1.03     0.07     4.16     5.26
 20050904.230000    -4.23    -2.94    86.79     0.98     0.07     4.24     5.31
 20050905.020000    -3.20    -3.35    91.49     0.95     0.08     4.36     5.33
 20050905.050000    -2.37    -3.76    94.36     0.95     0.09     4.44     5.36
 20050905.080000    -1.54    -4.17    95.64     0.95     0.10     4.49     5.37
 20050905.110000    -1.63    -3.74    96.20     0.96     0.11     4.52     5.34
 20050905.140000    -1.72    -3.31    95.54     0.96     0.13     4.54     5.29
 20050905.170000    -1.75    -1.67    97.82     0.93     0.14     4.75     5.24
 20050905.200000    -1.79    -0.03    99.68     0.90     0.16     5.11     5.23
 20050905.230000    -0.52    -1.43    98.72     0.89     0.20     5.39     5.25
 20050906.020000     0.75    -2.83    96.07     0.89     0.24     5.63     5.26
 20050906.050000     0.94    -2.01    93.78     0.90     0.29     5.85     5.26
 20050906.080000     1.13    -1.21    92.53     0.90     0.32     6.05     5.22
 20050906.110000     1.23    -1.36    91.20     0.90     0.33     6.16     5.16
 20050906.140000     1.32    -1.52    89.60     0.89     0.34     6.23     5.11
 20050906.170000     0.40    -0.51    88.18     0.89     0.34     6.31     5.07
 20050906.200000    -0.52     0.51    87.43     0.88     0.33     6.30     5.03
 20050906.230000    -0.67     1.37    87.67     0.86     0.32     6.21     5.01
 20050907.020000    -0.83     2.23    89.33     0.84     0.29     6.05     4.99
 20050907.050000    -1.08     0.59    91.44     0.82     0.27     5.93     4.99
 20050907.080000    -1.33    -1.06    93.76     0.80     0.24     5.84     5.05
 20050907.110000    -2.43    -1.59    95.48     0.78     0.22     5.67     5.16
