  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20030801.080000     3.22     0.88   202.45     0.55     0.00     3.42     4.18
 20030801.110000     2.69     1.66   203.00     0.53     0.00     3.43     4.25
 20030801.140000     2.17     2.45   203.07     0.51     0.00     3.42     4.30
 20030801.170000     0.91     3.35   201.96     0.50     0.00     3.42     4.33
 20030801.200000    -0.36     4.24   197.95     0.52     0.00     3.36     4.32
 20030801.230000     0.33     4.18   194.44     0.53     0.00     3.38     4.20
 20030802.020000     1.02     4.11   194.26     0.54     0.00     3.40     4.06
 20030802.050000     1.46     2.43   195.63     0.51     0.00     3.54     4.14
 20030802.080000     1.89     0.74   195.49     0.48     0.00     3.71     4.38
 20030802.110000     0.62     1.64   194.76     0.45     0.00     3.89     4.59
 20030802.140000    -0.65     2.55   194.21     0.44     0.00     3.96     4.76
 20030802.170000    -1.44     2.79   192.67     0.44     0.00     3.89     4.84
 20030802.200000    -2.22     3.05   188.98     0.45     0.01     3.73     4.86
 20030802.230000    -1.30     2.22   188.69     0.45     0.01     3.69     4.86
 20030803.020000    -0.38     1.38   191.23     0.43     0.01     3.78     4.86
 20030803.050000    -0.42    -0.68   194.36     0.40     0.01     3.99     4.87
 20030803.080000    -0.46    -2.74   195.90     0.39     0.01     3.95     4.89
 20030803.110000    -0.39    -2.02   192.60     0.39     0.01     3.89     4.90
 20030803.140000    -0.32    -1.31   186.81     0.39     0.01     3.92     4.86
 20030803.170000     0.63    -0.29   176.59     0.40     0.01     3.94     4.73
 20030803.200000     1.59     0.72   163.97     0.42     0.01     4.00     4.29
 20030803.230000     3.14    -0.50   154.36     0.46     0.01     3.93     4.31
 20030804.020000     4.69    -1.71   165.53     0.59     0.02     3.67     4.57
 20030804.050000     5.43    -1.10   205.72     0.74     0.02     3.70     4.30
 20030804.080000     6.17    -0.49   226.63     0.82     0.02     3.84     4.32
 20030804.110000     5.61     0.74   222.45     0.86     0.02     3.97     4.51
 20030804.140000     5.05     1.97   215.12     0.87     0.03     4.09     4.71
 20030804.170000     3.74     2.75   202.88     0.87     0.04     4.25     4.85
 20030804.200000     2.43     3.53   193.50     0.88     0.05     4.41     4.97
 20030804.230000     1.62     2.33   187.87     0.90     0.07     4.62     5.12
 20030805.020000     0.82     1.12   183.32     0.89     0.09     5.00     5.29
 20030805.050000     0.16     2.47   180.73     0.90     0.12     5.35     5.44
 20030805.080000    -0.49     3.82   179.00     0.95     0.14     5.58     5.89
 20030805.110000    -0.41     4.73   177.62     1.03     0.16     5.57     7.66
 20030805.140000    -0.32     5.64   177.59     1.12     0.17     5.48     7.98
 20030805.170000    -1.44     5.17   177.99     1.17     0.17     5.49     8.10
 20030805.200000    -2.56     4.69   177.14     1.19     0.16     5.48     8.07
 20030805.230000    -1.48     4.44   176.15     1.19     0.15     5.47     7.98
 20030806.020000    -0.40     4.19   175.91     1.17     0.14     5.45     7.90
 20030806.050000    -1.66     3.27   176.24     1.14     0.15     5.44     7.81
 20030806.080000    -2.93     2.37   176.13     1.11     0.15     5.47     7.71
 20030806.110000    -0.89     3.06   176.81     1.08     0.15     5.50     7.59
 20030806.140000     1.15     3.75   178.22     1.06     0.15     5.51     7.53
 20030806.170000    -0.11     4.07   179.34     1.07     0.15     5.51     7.65
 20030806.200000    -1.36     4.39   179.85     1.07     0.14     5.50     7.78
 20030806.230000    -0.41     3.67   180.53     1.07     0.14     5.51     7.88
 20030807.020000     0.54     2.96   181.53     1.06     0.13     5.52     7.92
