  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 19950101.020000    -6.35    -7.12    65.75     1.89     0.08     5.20     6.41
 19950101.050000    -7.76    -8.68    61.49     1.89     0.09     5.01     5.92
 19950101.080000    -9.17   -10.23    60.48     2.33     0.13     5.54     6.25
 19950101.110000    -7.10    -8.69    60.80     2.30     0.20     5.73     6.74
 19950101.140000    -5.00    -7.12    61.05     1.85     0.18     5.24     6.60
 19950101.170000    -5.31    -6.10    62.07     1.53     0.16     4.90     6.11
 19950101.200000    -5.56    -5.01    64.22     1.40     0.16     4.72     5.62
 19950101.230000    -6.24    -6.48    64.67     1.39     0.14     4.58     5.10
 19950102.020000    -6.90    -7.92    63.20     1.51     0.12     4.64     5.12
 19950102.050000    -7.58    -7.71    63.37     1.60     0.10     4.78     5.41
 19950102.080000    -8.23    -7.47    64.32     1.65     0.09     4.82     5.46
 19950102.110000    -5.94    -5.26    67.39     1.40     0.08     4.58     5.48
 19950102.140000    -3.65    -3.06    73.55     1.09     0.07     4.43     5.46
 19950102.170000    -6.20    -4.82    76.19     1.05     0.06     4.28     5.38
 19950102.200000    -8.75    -6.57    71.45     1.45     0.07     4.46     4.93
 19950102.230000    -6.68    -5.25    75.54     1.57     0.08     4.88     5.62
 19950103.020000    -4.62    -3.92    80.47     1.29     0.09     4.69     5.63
 19950103.050000    -4.62    -4.06    87.55     1.12     0.11     4.50     5.48
 19950103.080000    -4.63    -4.20    94.14     1.08     0.13     4.42     5.15
 19950103.110000    -3.14    -4.32    99.43     1.04     0.10     4.32     5.03
 19950103.140000    -1.45    -4.20   107.16     0.94     0.07     4.32     5.19
 19950103.170000    -1.29    -5.46   105.93     0.89     0.04     4.18     5.63
 19950103.200000    -1.10    -6.68    88.23     0.88     0.03     3.96     5.79
 19950103.230000    -0.16    -7.82    54.38     0.90     0.02     3.78     3.80
 19950104.020000     0.81    -8.84    28.92     0.96     0.02     3.76     3.85
 19950104.050000    -0.18    -9.11    24.24     1.03     0.02     3.86     4.16
 19950104.080000    -1.16    -9.26    28.20     1.08     0.02     3.97     4.43
 19950104.110000    -0.96    -8.43    32.93     1.06     0.02     4.01     4.63
 19950104.140000    -0.76    -7.61    35.05     1.01     0.02     3.97     4.91
 19950104.170000    -1.18    -7.92    35.25     1.01     0.02     3.97     4.92
 19950104.200000    -1.59    -8.22    36.96     1.05     0.02     4.05     4.86
 19950104.230000    -1.64    -7.70    39.44     1.05     0.03     4.11     5.15
