  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20000401.080000    -6.79    -0.83   116.83     0.77     0.01     3.65     4.68
 20000401.110000    -6.35     0.49   109.48     0.81     0.01     3.67     4.20
 20000401.140000    -5.60     1.81   108.18     0.80     0.01     3.66     4.28
 20000401.170000    -4.40     0.96   108.46     0.75     0.01     3.63     4.31
 20000401.200000    -3.11     0.08   113.39     0.67     0.01     3.72     4.35
 20000401.230000    -2.66    -1.24   118.48     0.62     0.01     3.81     4.37
 20000402.020000    -1.39    -2.39   122.38     0.59     0.01     3.80     4.37
 20000402.050000    -3.47    -3.79   108.16     0.61     0.01     3.55     4.36
 20000402.080000    -5.50    -5.12    78.29     0.75     0.01     3.38     3.99
 20000402.110000    -5.84    -3.19    78.09     0.81     0.01     3.58     4.22
 20000402.140000    -5.72    -0.92    82.53     0.78     0.01     3.61     4.43
 20000402.170000    -5.88    -1.53    83.40     0.75     0.01     3.51     4.40
 20000402.200000    -5.98    -2.13    82.62     0.74     0.01     3.45     4.29
 20000402.230000    -4.99    -0.73    83.13     0.71     0.00     3.43     4.27
 20000403.020000    -3.67     0.74    88.11     0.63     0.00     3.51     4.36
 20000403.050000    -5.20    -0.46    90.55     0.62     0.00     3.44     4.40
 20000403.080000    -6.49    -1.67    85.28     0.70     0.00     3.39     3.90
 20000403.110000    -6.56    -0.74    84.42     0.77     0.00     3.58     4.16
 20000403.140000    -6.51     0.22    85.43     0.81     0.01     3.71     4.43
 20000403.170000    -6.62    -1.77    84.44     0.83     0.01     3.72     4.44
 20000403.200000    -6.17    -3.70    80.71     0.86     0.01     3.74     4.31
 20000403.230000    -3.89    -3.73    79.08     0.83     0.02     3.81     4.57
 20000404.020000    -1.13    -3.41    76.47     0.75     0.02     3.89     4.66
 20000404.050000    -1.94    -4.98    68.58     0.72     0.02     3.83     4.80
 20000404.080000    -2.74    -6.55    56.93     0.80     0.02     3.69     4.80
 20000404.110000    -1.15    -5.67    55.19     0.82     0.01     3.79     4.80
 20000404.140000     0.53    -4.44    55.32     0.77     0.01     3.79     4.87
 20000404.170000     0.01    -4.44    52.85     0.70     0.01     3.68     4.86
 20000404.200000    -0.52    -4.37    49.61     0.65     0.01     3.50     4.78
 20000404.230000    -0.70    -3.05    54.61     0.58     0.01     3.47     4.63
 20000405.020000    -0.86    -1.65    65.78     0.50     0.01     3.71     4.53
 20000405.050000    -1.77    -3.93    64.43     0.48     0.01     3.62     4.49
 20000405.080000    -2.67    -6.20    50.39     0.64     0.01     3.16     3.10
 20000405.110000    -2.92    -6.48    50.42     0.74     0.01     3.37     3.73
 20000405.140000    -3.18    -6.76    53.46     0.83     0.00     3.63     4.20
 20000405.170000    -6.41    -7.81    58.54     1.19     0.00     4.03     4.59
 20000405.200000    -9.44    -8.54    64.74     1.83     0.02     4.86     5.49
 20000405.230000    -8.34    -7.39    65.11     2.03     0.05     5.28     6.08
 20000406.020000    -7.25    -6.25    63.55     1.81     0.05     5.06     6.14
 20000406.050000    -7.38    -8.45    60.47     1.77     0.04     4.85     5.72
 20000406.080000    -7.41   -10.53    57.83     1.98     0.04     5.09     5.87
 20000406.110000    -6.47    -7.59    59.40     1.86     0.05     5.09     6.06
 20000406.140000    -5.43    -4.53    62.73     1.46     0.05     4.80     6.06
 20000406.170000    -6.39    -5.56    63.94     1.30     0.04     4.50     5.86
 20000406.200000    -7.35    -6.61    63.85     1.40     0.04     4.52     5.06
 20000406.230000    -6.41    -4.92    67.61     1.39     0.05     4.67     5.53
 20000407.020000    -5.41    -3.18    69.67     1.25     0.04     4.55     5.70
 20000407.050000    -5.35    -5.94    67.94     1.18     0.03     4.35     5.73
 20000407.080000    -4.92    -8.38    61.56     1.27     0.03     4.30     4.93
 20000407.110000    -4.14    -5.28    63.86     1.18     0.02     4.31     5.26
 20000407.140000    -3.17    -1.92    68.96     0.95     0.02     4.25     5.34
 20000407.170000    -4.89    -4.07    70.85     0.84     0.01     3.99     5.26
 20000407.200000    -6.58    -6.19    64.44     1.00     0.01     3.79     4.16
 20000407.230000    -5.90    -4.85    66.40     1.08     0.01     4.02     4.66
 20000408.020000    -5.18    -3.48    68.33     1.01     0.01     4.00     4.97
 20000408.050000    -6.55    -5.44    66.50     1.03     0.01     3.91     4.75
 20000408.080000    -7.87    -7.36    64.35     1.36     0.01     4.30     4.90
 20000408.110000    -6.89    -5.74    66.92     1.47     0.01     4.61     5.43
 20000408.140000    -5.88    -4.09    68.01     1.28     0.01     4.46     5.52
 20000408.170000    -7.98    -4.05    68.40     1.24     0.01     4.24     5.30
 20000408.200000    -9.99    -3.96    70.89     1.49     0.01     4.54     5.14
 20000408.230000    -7.08    -3.57    73.34     1.43     0.01     4.66     5.53
 20000409.020000    -4.04    -3.14    74.12     1.16     0.01     4.46     5.55
 20000409.050000    -3.95    -4.01    73.59     0.99     0.01     4.21     5.54
 20000409.080000    -3.80    -4.83    72.84     0.92     0.01     3.97     5.43
 20000409.110000    -3.11    -2.87    75.77     0.83     0.01     3.86     5.24
 20000409.140000    -2.22    -0.68    84.85     0.70     0.01     4.05     5.23
 20000409.170000    -2.88    -0.48    92.13     0.62     0.00     4.12     5.30
 20000409.200000    -3.51    -0.28    97.51     0.60     0.00     4.02     5.34
 20000409.230000    -1.96    -0.29   102.10     0.56     0.00     4.01     5.34
 20000410.020000    -0.33    -0.29   105.80     0.52     0.00     4.14     5.32
 20000410.050000    -0.55    -1.52   107.15     0.49     0.00     4.21     5.29
 20000410.080000    -0.73    -2.70   105.05     0.47     0.00     4.10     5.21
 20000410.110000    -2.18    -3.87    90.54     0.50     0.00     3.61     5.11
 20000410.140000    -3.58    -4.92    69.89     0.62     0.00     3.21     3.28
 20000410.170000    -4.95    -6.77    61.82     0.81     0.00     3.46     3.80
 20000410.200000    -6.32    -8.61    61.27     1.26     0.00     4.10     4.62
 20000410.230000    -6.37    -7.37    63.45     1.53     0.01     4.73     5.49
 20000411.020000    -6.38    -6.06    62.26     1.53     0.04     4.86     5.85
 20000411.050000    -6.91    -7.69    59.84     1.60     0.05     4.88     5.65
 20000411.080000    -7.41    -9.26    58.79     1.88     0.07     5.19     5.92
 20000411.110000    -7.26    -7.59    60.25     1.96     0.11     5.38     6.26
 20000411.140000    -7.06    -5.82    61.76     1.81     0.14     5.26     6.38
 20000411.170000    -6.90    -4.83    63.95     1.64     0.13     5.03     6.18
 20000411.200000    -6.71    -3.80    66.72     1.46     0.10     4.80     5.95
 20000411.230000    -4.42    -1.90    72.21     1.20     0.07     4.73     5.86
 20000412.020000    -1.90     0.11    78.86     0.98     0.05     4.83     5.85
 20000412.050000    -2.18     0.08    85.06     0.85     0.04     4.90     5.82
 20000412.080000    -2.46     0.05    92.18     0.78     0.04     4.85     5.75
 20000412.110000    -2.43     1.89   100.21     0.74     0.03     4.76     5.65
 20000412.140000     3.35     1.59   111.43     0.73     0.03     4.51     5.55
 20000412.170000     3.12     1.60   121.75     0.71     0.02     4.33     5.46
 20000412.200000     2.89     1.62   129.52     0.68     0.02     4.22     5.42
 20000412.230000     2.06     1.93   135.87     0.65     0.01     4.14     5.41
 20000413.020000     1.05     2.09   140.73     0.62     0.01     4.08     5.39
 20000413.050000     0.88     1.84   144.85     0.59     0.01     4.03     5.37
 20000413.080000     0.72     1.59   147.94     0.56     0.01     3.98     5.34
 20000413.110000    -0.41     1.67   149.49     0.52     0.00     4.10     5.29
 20000413.140000    -1.64     0.37   149.66     0.48     0.00     4.28     5.17
 20000413.170000    -3.03    -0.76   145.53     0.47     0.00     4.11     5.04
 20000413.200000    -4.17    -1.88   123.17     0.52     0.00     3.53     4.96
 20000413.230000    -3.42    -0.59   115.56     0.53     0.00     3.37     4.88
 20000414.020000    -2.21     0.84   124.79     0.47     0.00     3.51     4.75
 20000414.050000    -1.69     3.62   137.37     0.46     0.00     3.43     4.60
 20000414.080000    -0.36     5.62   160.72     0.55     0.00     3.09     2.93
 20000414.110000     0.87     4.97   172.43     0.57     0.00     3.15     3.56
 20000414.140000     2.07     3.96   180.61     0.56     0.00     3.20     3.76
 20000414.170000     2.32     3.24   187.08     0.55     0.00     3.25     3.90
 20000414.200000     2.52     2.44   190.18     0.53     0.00     3.29     4.01
 20000414.230000     2.88     0.71   192.96     0.50     0.00     3.40     4.08
 20000415.020000     1.09    -2.16   195.18     0.47     0.00     3.55     4.13
 20000415.050000     0.59    -3.64   200.75     0.47     0.00     3.48     4.17
 20000415.080000     0.03    -4.95   252.01     0.54     0.00     3.05     4.20
 20000415.110000    -2.26    -6.79    14.04     0.63     0.00     2.99     2.94
 20000415.140000    -4.48    -8.22    36.08     0.90     0.00     3.43     3.74
 20000415.170000    -5.22    -7.89    49.23     1.17     0.00     4.03     4.55
 20000415.200000    -5.92    -7.50    56.71     1.33     0.01     4.42     5.05
 20000415.230000    -4.85    -6.91    60.22     1.36     0.03     4.61     5.48
 20000416.020000    -3.76    -6.28    60.35     1.30     0.06     4.65     5.76
 20000416.050000    -4.71    -7.88    57.73     1.33     0.07     4.60     5.77
 20000416.080000    -5.65    -9.50    56.17     1.55     0.06     4.75     5.45
 20000416.110000    -5.78    -7.70    58.11     1.62     0.04     4.88     5.78
 20000416.140000    -5.82    -5.78    60.00     1.46     0.03     4.72     5.90
 20000416.170000    -6.79    -4.54    62.46     1.33     0.02     4.47     5.78
 20000416.200000    -7.51    -3.09    65.58     1.26     0.02     4.30     5.21
 20000416.230000    -6.12    -2.83    67.97     1.15     0.01     4.15     5.21
 20000417.020000    -4.71    -2.57    72.53     0.97     0.02     4.09     5.19
 20000417.050000    -5.32    -5.15    71.08     0.92     0.02     3.85     4.99
 20000417.080000    -5.68    -7.54    62.53     1.08     0.03     3.89     4.40
 20000417.110000    -6.39    -6.09    64.56     1.20     0.04     4.20     4.83
 20000417.140000    -6.90    -4.44    67.65     1.17     0.04     4.21     4.99
 20000417.170000    -6.14    -3.51    69.93     1.05     0.04     4.02     4.97
 20000417.200000    -5.36    -2.55    75.45     0.94     0.05     3.94     4.77
