  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 19970801.080000    -8.76     1.52   139.12     1.71     0.22     5.52     6.98
 19970801.110000    -8.57     1.36   141.96     1.79     0.23     5.56     7.27
 19970801.140000    -8.38     1.21   141.53     1.77     0.22     5.51     7.33
 19970801.170000    -9.23     4.36   139.59     1.83     0.25     5.45     7.11
 19970801.200000    -9.46     7.32   143.74     2.19     0.33     5.70     6.32
 19970801.230000    -8.40     6.23   149.28     2.41     0.49     6.19     7.04
 19970802.020000    -7.34     5.13   154.31     2.38     0.65     6.46     7.76
 19970802.050000    -8.15     5.81   156.48     2.42     0.79     6.61     8.42
 19970802.080000    -8.95     6.49   157.26     2.61     0.93     6.83     8.72
 19970802.110000    -9.58     7.40   158.06     2.89     1.11     7.12     8.39
 19970802.140000   -10.19     8.30   158.18     3.22     1.28     7.24     8.57
 19970802.170000   -10.64    10.80   158.23     3.65     1.47     7.40     8.56
 19970802.200000   -10.98    13.20   159.23     4.24     1.84     7.77     8.85
 19970802.230000    -7.53    14.14   162.40     4.43     2.11     7.98     9.26
 19970803.020000    -3.63    14.42   167.35     4.18     1.96     7.85     9.41
 19970803.050000    -0.85    13.60   172.64     3.80     1.64     7.50     9.16
 19970803.080000     2.01    12.22   177.69     3.40     1.31     7.16     8.82
 19970803.110000     1.62    10.99   180.29     3.04     1.05     6.82     8.69
 19970803.140000     1.22     9.75   180.83     2.72     0.84     6.54     8.78
 19970803.170000     0.90     8.56   181.31     2.40     0.66     6.36     8.72
 19970803.200000     0.57     7.35   181.36     2.12     0.50     6.13     8.56
 19970803.230000     1.10     6.30   181.14     1.87     0.37     5.95     8.23
 19970804.020000     1.62     5.17   181.76     1.67     0.27     5.71     7.92
 19970804.050000     1.86     5.28   183.28     1.50     0.19     5.52     7.71
 19970804.080000     2.12     5.39   184.37     1.40     0.13     5.22     7.40
 19970804.110000     1.93     5.14   185.13     1.31     0.09     4.94     7.03
 19970804.140000     1.76     4.88   185.91     1.22     0.06     4.74     6.56
 19970804.170000     1.95     4.09   185.90     1.12     0.05     4.63     6.11
 19970804.200000     2.11     3.26   186.37     1.02     0.04     4.67     6.01
 19970804.230000     2.81     3.24   187.33     0.98     0.04     4.62     6.01
 19970805.020000     3.46     3.17   188.85     0.95     0.03     4.51     5.99
 19970805.050000     3.81     2.41   190.35     0.92     0.02     4.42     5.94
 19970805.080000     4.03     1.54   191.74     0.90     0.02     4.33     5.88
 19970805.110000     3.79     2.29   193.22     0.87     0.02     4.24     5.81
 19970805.140000     3.43     2.98   194.49     0.85     0.02     4.16     5.70
 19970805.170000     2.88     3.50   195.14     0.84     0.02     4.12     5.59
 19970805.200000     2.24     3.93   195.08     0.84     0.03     4.12     5.54
 19970805.230000     2.89     3.61   194.88     0.85     0.04     4.16     5.56
 19970806.020000     3.48     3.19   194.73     0.86     0.05     4.23     5.61
 19970806.050000     4.39     2.59   195.07     0.89     0.06     4.29     5.65
 19970806.080000     5.13     1.87   196.08     0.92     0.06     4.34     5.65
 19970806.110000     4.77     3.19   196.16     0.95     0.06     4.39     5.62
 19970806.140000     4.15     4.35   195.33     0.98     0.06     4.44     5.59
 19970806.170000     4.59     3.83   194.51     1.00     0.05     4.51     5.59
 19970806.200000     4.96     3.24   193.89     1.02     0.04     4.56     5.64
 19970806.230000     5.17     3.76   193.67     1.05     0.04     4.61     5.72
 19970807.020000     5.36     4.26   193.41     1.10     0.04     4.68     5.81
 19970807.050000     5.65     4.44   192.66     1.16     0.05     4.80     5.91
 19970807.080000     5.94     4.63   191.66     1.24     0.07     4.98     6.04
 19970807.110000     5.37     4.39   189.84     1.29     0.08     5.16     6.26
 19970807.140000     4.78     4.14   188.82     1.29     0.08     5.25     6.49
 19970807.170000     5.05     4.54   189.65     1.29     0.08     5.24     6.59
 19970807.200000     5.30     4.94   190.60     1.31     0.09     5.28     6.65
 19970807.230000     5.40     4.48   190.17     1.35     0.12     5.41     6.81
 19970808.020000     5.47     4.00   189.37     1.37     0.15     5.54     7.12
 19970808.050000     5.51     4.66   189.31     1.40     0.16     5.59     7.25
 19970808.080000     5.54     5.29   189.98     1.44     0.15     5.55     7.20
 19970808.110000     5.52     6.06   191.11     1.47     0.12     5.43     6.96
 19970808.140000     5.50     6.81   192.31     1.52     0.09     5.29     6.59
 19970808.170000     5.16     5.90   192.89     1.49     0.07     5.24     6.50
 19970808.200000     4.82     4.98   193.26     1.41     0.07     5.18     6.51
 19970808.230000     4.68     4.80   193.94     1.37     0.08     5.12     6.52
 19970809.020000     4.53     4.61   194.65     1.34     0.09     5.10     6.54
 19970809.050000     5.37     4.76   195.82     1.36     0.09     5.10     6.58
 19970809.080000     6.19     4.90   197.31     1.41     0.09     5.13     6.55
 19970809.110000     5.74     5.14   197.77     1.47     0.09     5.25     6.54
 19970809.140000     5.25     5.35   199.00     1.50     0.08     5.34     6.59
 19970809.170000     5.09     5.29   200.47     1.48     0.07     5.32     6.62
 19970809.200000     4.92     5.23   201.26     1.43     0.06     5.21     6.58
 19970809.230000     4.64     5.38   201.71     1.38     0.05     5.08     6.48
 19970810.020000     4.37     5.52   202.20     1.34     0.04     4.95     6.35
 19970810.050000     5.15     5.52   203.24     1.30     0.03     4.80     6.14
 19970810.080000     5.91     5.49   204.49     1.28     0.02     4.68     5.94
 19970810.110000     5.29     5.82   204.40     1.26     0.02     4.61     5.79
 19970810.140000     4.63     6.10   204.06     1.23     0.01     4.53     5.67
 19970810.170000     4.26     5.42   204.18     1.17     0.01     4.44     5.59
 19970810.200000     3.90     4.73   204.24     1.10     0.01     4.34     5.53
 19970810.230000     3.55     4.34   203.56     1.03     0.01     4.23     5.47
 19970811.020000     3.20     3.95   203.06     0.96     0.00     4.13     5.46
 19970811.050000     2.82     4.51   202.31     0.91     0.00     4.00     5.44
 19970811.080000     2.40     5.01   201.90     0.87     0.00     3.87     5.36
 19970811.110000     3.15     5.19   201.93     0.85     0.00     3.76     5.11
 19970811.140000     3.87     5.34   202.30     0.85     0.00     3.69     4.82
 19970811.170000     3.19     4.03   201.61     0.83     0.00     3.70     4.79
 19970811.200000     2.50     2.71   199.94     0.79     0.00     3.81     4.90
 19970811.230000     2.29     4.27   199.42     0.76     0.00     3.93     5.04
 19970812.020000     1.97     5.67   199.85     0.79     0.00     3.89     5.07
 19970812.050000     2.28     4.97   200.85     0.81     0.00     3.96     5.07
 19970812.080000     2.57     4.21   202.48     0.81     0.00     4.03     5.15
 19970812.110000     2.64     4.93   203.90     0.82     0.00     4.03     5.23
 19970812.140000     2.71     5.64   204.90     0.85     0.00     4.02     5.19
 19970812.170000     3.40     4.60   206.41     0.85     0.00     4.04     5.13
 19970812.200000     3.96     3.35   208.31     0.84     0.00     4.07     5.18
 19970812.230000     2.98     4.57   209.32     0.84     0.00     4.07     5.25
 19970813.020000     1.73     5.48   208.79     0.85     0.00     4.07     5.30
 19970813.050000     1.98     5.36   208.13     0.85     0.00     4.07     5.31
 19970813.080000     2.23     5.24   207.61     0.85     0.00     4.06     5.29
 19970813.110000     2.31     4.87   207.17     0.83     0.00     4.03     5.26
 19970813.140000     2.38     4.50   206.74     0.81     0.00     3.99     5.24
 19970813.170000     2.10     3.53   206.25     0.78     0.00     3.96     5.23
 19970813.200000     1.82     2.56   205.63     0.74     0.00     3.94     5.22
 19970813.230000     2.03     2.59   205.06     0.71     0.00     3.95     5.22
 19970814.020000     2.22     2.62   204.34     0.68     0.00     3.91     5.23
 19970814.050000     2.46     2.05   203.65     0.66     0.00     3.86     5.22
 19970814.080000     2.63     1.40   203.14     0.65     0.00     3.81     5.22
 19970814.110000     2.24     2.44   202.76     0.63     0.00     3.76     5.22
 19970814.140000     1.59     3.27   202.66     0.63     0.00     3.72     5.26
 19970814.170000     1.23     2.81   202.36     0.62     0.00     3.71     5.29
 19970814.200000     0.88     2.36   201.85     0.61     0.00     3.70     5.31
 19970814.230000     1.79     2.73   201.23     0.60     0.00     3.67     5.32
 19970815.020000     2.65     3.00   201.14     0.60     0.00     3.60     5.31
 19970815.050000     1.99     1.78   200.33     0.58     0.00     3.57     5.27
 19970815.080000     1.25     0.47   198.03     0.53     0.00     3.77     5.10
 19970815.110000     1.86     0.63   196.67     0.48     0.00     3.96     4.96
 19970815.140000     2.47     0.79   197.81     0.45     0.00     3.97     4.90
 19970815.170000     1.95     0.87   198.85     0.44     0.00     3.98     4.87
 19970815.200000     1.40     0.93   199.06     0.43     0.00     4.07     4.89
 19970815.230000     1.63     0.54   199.58     0.42     0.00     4.12     4.92
 19970816.020000     1.76     0.08   199.64     0.42     0.00     4.12     4.92
 19970816.050000     1.61    -1.90   201.18     0.42     0.01     3.97     4.89
 19970816.080000     0.05    -3.22   200.75     0.44     0.01     3.80     4.83
 19970816.110000     0.58    -2.27   195.86     0.44     0.01     3.74     4.75
 19970816.140000     1.06    -0.99   188.91     0.44     0.01     3.88     4.64
 19970816.170000     0.11    -2.08   185.04     0.45     0.02     4.01     4.58
 19970816.200000    -1.14    -2.47   183.22     0.48     0.02     4.05     4.56
 19970816.230000    -0.74    -2.78   181.49     0.50     0.02     4.06     4.58
 19970817.020000    -0.31    -3.01   178.74     0.53     0.02     4.08     4.61
 19970817.050000     0.48    -3.71   171.72     0.58     0.02     4.06     4.61
 19970817.080000     1.26    -4.28   154.40     0.65     0.03     4.02     4.69
 19970817.110000     1.92    -3.73   121.97     0.73     0.04     4.12     4.94
 19970817.140000     2.51    -3.03   103.14     0.79     0.06     4.38     5.29
 19970817.170000     4.25    -1.48    95.02     0.84     0.09     4.51     5.51
 19970817.200000     5.01     0.73    97.97     0.89     0.13     4.61     5.65
 19970817.230000     4.90    -0.09    98.79     0.94     0.17     4.80     5.73
 19970818.020000     4.65    -0.92    95.02     0.97     0.21     4.98     5.76
 19970818.050000     4.72    -1.73    91.59     1.00     0.24     5.11     5.78
 19970818.080000     4.67    -2.50    88.30     1.04     0.28     5.25     5.77
 19970818.110000     4.69    -2.65    87.16     1.08     0.32     5.40     5.78
 19970818.140000     4.70    -2.81    90.53     1.12     0.34     5.49     5.89
 19970818.170000     4.97    -1.80   103.34     1.14     0.34     5.52     6.04
 19970818.200000     5.06    -0.71   126.03     1.13     0.32     5.50     6.17
 19970818.230000     5.02    -0.83   149.61     1.13     0.30     5.48     6.30
 19970819.020000     4.98    -0.96   165.31     1.14     0.28     5.48     6.48
