  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20041001.080000    -3.40    -5.79    69.49     0.93     0.04     3.95     5.03
 20041001.110000    -4.05    -4.90    66.97     0.92     0.03     3.95     4.98
 20041001.140000    -4.71    -4.00    67.18     0.92     0.03     3.94     5.03
 20041001.170000    -5.58    -5.30    66.44     0.98     0.02     3.98     4.94
 20041001.200000    -6.45    -6.61    64.64     1.23     0.01     4.26     4.95
 20041001.230000    -7.91    -8.09    62.65     1.69     0.02     4.82     5.52
 20041002.020000    -9.37    -9.57    61.15     2.27     0.07     5.44     6.16
 20041002.050000    -7.94    -9.79    59.10     2.45     0.17     5.73     6.67
 20041002.080000    -6.51   -10.02    56.98     2.34     0.21     5.63     6.77
 20041002.110000    -7.52    -9.89    56.50     2.34     0.22     5.60     6.61
 20041002.140000    -8.54    -9.76    57.82     2.50     0.27     5.82     6.72
 20041002.170000    -8.84    -9.74    59.03     2.67     0.38     6.07     6.98
 20041002.200000    -9.14    -9.72    59.55     2.81     0.50     6.29     7.25
 20041002.230000    -8.83   -10.27    59.28     2.88     0.56     6.41     7.38
 20041003.020000    -8.52   -10.83    58.48     2.83     0.53     6.32     7.24
 20041003.050000    -8.01   -11.03    57.67     2.75     0.44     6.17     7.06
 20041003.080000    -7.49   -11.24    57.16     2.71     0.41     6.11     7.05
 20041003.110000    -6.85   -10.47    57.20     2.59     0.41     6.03     7.06
 20041003.140000    -6.21    -9.70    57.12     2.38     0.37     5.78     6.76
 20041003.170000    -7.60    -8.74    57.66     2.27     0.30     5.57     6.46
 20041003.200000    -8.98    -7.79    59.07     2.32     0.25     5.60     6.51
 20041003.230000    -8.62    -8.83    59.17     2.42     0.27     5.74     6.68
 20041004.020000    -8.25    -9.87    58.50     2.48     0.29     5.82     6.73
 20041004.050000    -6.72   -10.15    57.64     2.37     0.26     5.70     6.69
 20041004.080000    -5.18   -10.43    56.04     2.18     0.21     5.43     6.48
 20041004.110000    -6.61    -9.88    55.29     2.13     0.18     5.30     6.20
 20041004.140000    -8.05    -9.33    56.51     2.25     0.18     5.44     6.31
 20041004.170000    -7.94    -8.08    57.93     2.23     0.19     5.48     6.52
 20041004.200000    -7.82    -6.82    60.51     2.05     0.17     5.34     6.43
 20041004.230000    -7.96    -7.68    61.96     2.01     0.16     5.28     6.19
 20041005.020000    -8.11    -8.53    61.85     2.11     0.17     5.42     6.25
 20041005.050000    -7.07    -9.06    61.36     2.12     0.18     5.46     6.40
 20041005.080000    -6.01    -9.59    60.39     2.04     0.15     5.33     6.30
 20041005.110000    -6.46    -8.41    60.66     1.94     0.14     5.18     6.15
 20041005.140000    -6.90    -7.24    61.62     1.86     0.13     5.05     6.01
 20041005.170000    -7.49    -7.24    61.66     1.83     0.11     4.96     5.86
 20041005.200000    -8.08    -7.25    61.85     1.90     0.09     5.06     5.96
 20041005.230000    -8.19    -7.28    61.93     1.98     0.10     5.21     6.17
 20041006.020000    -8.30    -7.32    61.72     2.02     0.12     5.28     6.27
 20041006.050000    -7.54    -8.34    61.03     2.03     0.14     5.31     6.24
 20041006.080000    -6.76    -9.37    60.03     2.05     0.15     5.33     6.23
 20041006.110000    -6.82    -7.83    60.88     1.96     0.15     5.25     6.23
 20041006.140000    -6.87    -6.28    62.56     1.80     0.13     5.03     6.09
 20041006.170000    -6.96    -5.64    64.61     1.63     0.10     4.90     5.91
 20041006.200000    -7.05    -4.99    66.17     1.56     0.07     4.78     5.84
 20041006.230000    -6.59    -5.61    66.42     1.53     0.06     4.74     5.89
 20041007.020000    -6.13    -6.24    66.13     1.50     0.05     4.67     5.84
 20041007.050000    -4.53    -7.03    64.69     1.40     0.04     4.54     5.72
 20041007.080000    -2.92    -7.83    59.72     1.28     0.03     4.37     5.55
 20041007.110000    -3.33    -6.67    57.37     1.18     0.03     4.19     5.43
 20041007.140000    -3.74    -5.51    58.60     1.08     0.02     4.09     5.37
 20041007.170000    -4.72    -3.63    63.57     0.99     0.02     4.14     5.36
 20041007.200000    -5.70    -1.75    67.90     0.97     0.02     4.16     5.33
 20041007.230000    -4.38    -2.71    70.06     0.96     0.02     4.20     5.34
 20041008.020000    -3.07    -3.68    70.06     0.95     0.02     4.24     5.42
 20041008.050000    -3.19    -4.91    68.44     0.94     0.02     4.22     5.48
 20041008.080000    -3.32    -6.14    65.65     0.96     0.02     4.12     5.28
 20041008.110000    -2.82    -5.71    63.73     0.95     0.02     4.06     5.15
 20041008.140000    -2.33    -5.27    62.18     0.91     0.01     3.94     5.08
 20041008.170000    -2.92    -3.31    64.08     0.82     0.01     3.85     5.00
 20041008.200000    -3.51    -1.36    69.15     0.73     0.01     3.90     4.97
 20041008.230000    -3.62    -2.70    71.46     0.71     0.01     3.89     4.98
 20041009.020000    -3.74    -4.04    70.87     0.76     0.01     3.90     4.88
 20041009.050000    -3.33    -6.04    65.18     0.88     0.01     3.93     4.89
 20041009.080000    -2.91    -8.03    58.56     1.06     0.02     4.10     4.99
 20041009.110000    -3.86    -6.75    58.12     1.16     0.03     4.33     5.37
 20041009.140000    -4.81    -5.48    59.83     1.17     0.05     4.46     5.62
 20041009.170000    -5.74    -4.88    60.86     1.18     0.06     4.48     5.76
 20041009.200000    -6.68    -4.30    62.82     1.23     0.07     4.52     5.71
 20041009.230000    -6.22    -5.25    64.00     1.29     0.07     4.62     5.59
 20041010.020000    -5.75    -6.20    63.52     1.32     0.07     4.68     5.73
 20041010.050000    -5.54    -6.84    62.74     1.34     0.06     4.67     5.66
 20041010.080000    -5.34    -7.50    62.04     1.37     0.05     4.68     5.54
 20041010.110000    -6.00    -6.49    63.31     1.39     0.04     4.73     5.63
 20041010.140000    -6.66    -5.49    64.49     1.37     0.04     4.71     5.73
 20041010.170000    -6.86    -4.09    65.54     1.30     0.03     4.60     5.69
 20041010.200000    -7.06    -2.70    67.43     1.21     0.04     4.44     5.54
 20041010.230000    -6.60    -3.42    69.68     1.15     0.04     4.31     5.37
 20041011.020000    -6.15    -4.14    70.64     1.12     0.04     4.24     5.26
 20041011.050000    -5.52    -5.61    69.90     1.12     0.03     4.19     5.18
 20041011.080000    -4.89    -7.08    66.70     1.16     0.03     4.21     5.07
 20041011.110000    -4.77    -6.04    66.19     1.16     0.02     4.26     5.26
 20041011.140000    -4.67    -5.00    66.15     1.11     0.02     4.19     5.35
 20041011.170000    -4.97    -3.70    67.10     1.04     0.02     4.07     5.33
 20041011.200000    -5.28    -2.39    70.52     0.95     0.01     4.02     5.27
 20041011.230000    -5.11    -3.60    72.30     0.92     0.01     3.96     5.12
 20041012.020000    -4.93    -4.81    71.26     0.94     0.01     3.95     5.01
 20041012.050000    -4.74    -5.63    69.12     0.97     0.01     3.98     5.00
 20041012.080000    -4.55    -6.46    66.91     1.02     0.01     4.04     5.00
 20041012.110000    -5.12    -6.29    66.02     1.08     0.01     4.14     5.05
 20041012.140000    -5.70    -6.13    65.88     1.13     0.01     4.23     5.09
 20041012.170000    -7.02    -5.87    65.68     1.22     0.01     4.31     5.01
 20041012.200000    -8.34    -5.61    67.17     1.45     0.01     4.58     5.22
 20041012.230000    -7.69    -6.24    67.38     1.60     0.02     4.85     5.61
 20041013.020000    -7.05    -6.87    65.86     1.61     0.03     4.88     5.82
 20041013.050000    -6.76    -7.60    63.63     1.60     0.03     4.80     5.65
 20041013.080000    -6.49    -8.34    61.61     1.65     0.02     4.84     5.65
 20041013.110000    -8.02    -8.22    60.95     1.85     0.04     5.07     5.88
 20041013.140000    -9.56    -8.10    61.64     2.17     0.07     5.41     6.15
 20041013.170000    -9.60    -7.42    62.29     2.30     0.12     5.63     6.52
 20041013.200000    -9.62    -6.74    62.95     2.28     0.14     5.62     6.58
 20041013.230000    -9.02    -7.06    63.14     2.22     0.15     5.56     6.58
 20041014.020000    -8.42    -7.37    62.80     2.11     0.14     5.41     6.41
 20041014.050000    -8.43    -8.84    61.56     2.14     0.12     5.38     6.19
 20041014.080000    -8.44   -10.30    59.93     2.34     0.14     5.60     6.44
 20041014.110000    -8.68    -9.78    59.14     2.48     0.20     5.77     6.68
 20041014.140000    -8.92    -9.26    58.87     2.51     0.23     5.82     6.77
 20041014.170000    -9.50    -9.49    58.66     2.59     0.26     5.92     6.83
 20041014.200000   -10.07    -9.71    58.79     2.73     0.30     6.07     6.97
 20041014.230000    -8.86    -9.53    58.32     2.63     0.30     5.99     7.01
 20041015.020000    -7.65    -9.34    57.38     2.35     0.23     5.63     6.65
 20041015.050000    -6.41   -10.43    55.31     2.17     0.17     5.33     6.23
 20041015.080000    -5.17   -11.52    52.90     2.15     0.15     5.27     6.18
 20041015.110000    -7.19   -10.22    54.09     2.25     0.20     5.45     6.37
 20041015.140000    -9.22    -8.92    56.85     2.44     0.26     5.72     6.61
 20041015.170000    -8.76    -8.35    58.13     2.45     0.29     5.81     6.75
 20041015.200000    -8.31    -7.78    59.10     2.34     0.27     5.70     6.72
 20041015.230000    -7.87    -8.60    59.23     2.28     0.26     5.62     6.61
 20041016.020000    -7.43    -9.43    58.49     2.23     0.25     5.51     6.41
 20041016.050000    -6.90    -9.26    57.93     2.12     0.20     5.34     6.19
 20041016.080000    -6.36    -9.10    57.40     2.01     0.15     5.15     6.06
 20041016.110000    -7.32    -8.96    57.15     2.01     0.11     5.08     5.99
 20041016.140000    -8.28    -8.81    57.45     2.08     0.11     5.18     6.05
 20041016.170000    -8.20    -8.19    57.75     2.10     0.11     5.25     6.16
 20041016.200000    -8.12    -7.56    58.37     2.10     0.13     5.29     6.27
 20041016.230000    -7.92    -8.49    58.73     2.19     0.20     5.46     6.46
 20041017.020000    -7.71    -9.41    58.64     2.29     0.26     5.63     6.55
 20041017.050000    -6.52    -9.69    58.20     2.23     0.24     5.56     6.53
 20041017.080000    -5.33    -9.96    57.14     2.11     0.20     5.37     6.38
 20041017.110000    -4.98    -9.99    56.24     2.05     0.20     5.28     6.24
 20041017.140000    -4.63   -10.03    55.74     2.06     0.22     5.32     6.27
 20041017.170000    -6.01    -9.56    55.91     2.12     0.24     5.42     6.36
 20041017.200000    -7.38    -9.09    56.77     2.20     0.25     5.52     6.43
 20041017.230000    -7.19   -10.25    56.56     2.28     0.26     5.61     6.49
 20041018.020000    -7.00   -11.42    55.26     2.38     0.27     5.69     6.53
 20041018.050000    -5.12   -10.29    54.63     2.22     0.26     5.57     6.55
 20041018.080000    -3.23    -9.16    54.97     1.95     0.24     5.34     6.42
 20041018.110000    -3.67    -7.72    57.09     1.74     0.23     5.26     6.37
 20041018.140000    -4.10    -6.30    60.63     1.63     0.22     5.26     6.30
 20041018.170000    -4.75    -4.39    65.43     1.56     0.23     5.33     6.26
 20041018.200000    -5.39    -2.50    72.05     1.53     0.25     5.51     6.22
 20041018.230000    -2.66    -4.10    77.04     1.53     0.26     5.67     6.20
 20041019.020000     0.07    -5.71    79.78     1.50     0.26     5.66     6.14
 20041019.050000     0.90    -6.03    80.31     1.47     0.26     5.53     6.05
 20041019.080000     1.73    -6.35    78.44     1.44     0.26     5.43     6.04
 20041019.110000     0.75    -5.71    79.62     1.39     0.25     5.39     6.08
 20041019.140000    -0.23    -5.07    83.35     1.34     0.24     5.36     6.10
 20041019.170000    -1.40    -2.10    92.84     1.25     0.24     5.57     6.09
 20041019.200000    -2.56     0.87    99.10     1.19     0.27     5.90     6.07
 20041019.230000    -2.59    -0.29   100.60     1.16     0.30     6.07     6.04
 20041020.020000    -2.62    -1.46   100.83     1.15     0.31     6.08     6.01
 20041020.050000    -2.37    -3.00    99.71     1.14     0.29     5.96     5.98
 20041020.080000    -2.12    -4.53    93.71     1.17     0.28     5.67     5.96
 20041020.110000    -4.53    -4.75    84.07     1.25     0.27     5.27     5.94
 20041020.140000    -6.94    -4.97    76.72     1.39     0.26     4.99     5.80
 20041020.170000    -6.32    -3.38    75.81     1.43     0.25     5.05     5.82
 20041020.200000    -5.71    -1.78    74.99     1.33     0.24     5.04     5.85
 20041020.230000    -5.90    -3.45    74.60     1.28     0.22     4.92     5.84
 20041021.020000    -6.10    -5.12    73.11     1.29     0.20     4.78     5.71
 20041021.050000    -6.44    -6.48    70.06     1.39     0.18     4.78     5.49
 20041021.080000    -6.79    -7.84    65.32     1.60     0.16     4.87     5.55
 20041021.110000    -7.09    -7.24    64.31     1.71     0.16     5.06     5.85
 20041021.140000    -7.41    -6.63    63.70     1.73     0.15     5.12     5.97
 20041021.170000    -6.84    -5.41    64.29     1.64     0.15     5.08     6.08
 20041021.200000    -6.29    -4.18    66.70     1.48     0.14     4.97     6.09
 20041021.230000    -6.76    -5.49    68.16     1.44     0.13     4.78     5.88
 20041022.020000    -7.23    -6.79    67.29     1.51     0.11     4.75     5.48
 20041022.050000    -6.88    -7.89    64.55     1.59     0.09     4.83     5.56
 20041022.080000    -6.52    -8.99    60.15     1.69     0.08     4.84     5.63
 20041022.110000    -7.33    -7.94    58.62     1.73     0.06     4.87     5.72
 20041022.140000    -8.12    -6.89    58.85     1.74     0.05     4.87     5.75
 20041022.170000    -8.77    -6.85    59.67     1.81     0.05     4.95     5.80
