  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20070801.080000     1.91     0.68   195.59     0.33     0.00     3.02     3.64
 20070801.110000     2.44     1.61   196.41     0.32     0.00     3.04     3.78
 20070801.140000     2.96     2.54   202.43     0.35     0.00     2.85     3.82
 20070801.170000     2.81     2.94   204.39     0.38     0.00     2.79     3.10
 20070801.200000     2.65     3.33   205.62     0.40     0.01     2.83     3.16
 20070801.230000     3.07     2.73   207.72     0.42     0.01     2.90     3.28
 20070802.020000     3.50     2.14   209.89     0.43     0.02     2.97     3.37
 20070802.050000     2.89     1.48   209.82     0.43     0.02     3.10     3.45
 20070802.080000     2.28     0.83   207.44     0.42     0.03     3.35     3.53
 20070802.110000     2.36     1.73   204.74     0.41     0.03     3.70     7.76
 20070802.140000     2.45     2.62   204.32     0.43     0.03     3.89     8.31
 20070802.170000     1.64     3.21   203.72     0.47     0.03     4.03     8.02
 20070802.200000     0.84     3.80   202.75     0.50     0.02     4.10     7.81
 20070802.230000     1.43     3.22   202.46     0.53     0.02     4.20     7.51
 20070803.020000     2.03     2.64   202.53     0.55     0.03     4.30     7.30
 20070803.050000     1.47     1.29   202.10     0.55     0.04     4.46     7.15
 20070803.080000     0.92    -0.05   200.68     0.54     0.05     4.74     6.94
 20070803.110000     0.78     1.11   199.12     0.53     0.06     5.02     6.71
 20070803.140000     0.64     2.26   197.71     0.53     0.09     5.26     6.57
 20070803.170000     0.52     2.41   196.73     0.55     0.13     5.50     6.45
 20070803.200000     0.39     2.55   195.90     0.57     0.19     5.87     6.32
 20070803.230000    -0.31     2.10   194.97     0.61     0.24     6.26    10.94
 20070804.020000    -1.00     1.64   193.62     0.65     0.27     6.58    10.55
 20070804.050000    -1.63     1.36   191.53     0.71     0.29     6.71    10.03
 20070804.080000    -2.26     1.08   189.00     0.80     0.30     6.68     9.54
 20070804.110000    -2.36     1.09   186.84     0.91     0.31     6.68     8.97
 20070804.140000    -2.45     1.11   184.67     1.01     0.33     6.72     8.53
 20070804.170000    -3.12     1.66   181.98     1.09     0.36     6.74     8.00
 20070804.200000    -3.80     2.21   178.29     1.16     0.40     6.61     7.79
 20070804.230000    -3.76     3.49   174.67     1.26     0.43     6.42     7.71
 20070805.020000    -3.71     4.76   171.80     1.35     0.43     6.23     7.55
 20070805.050000    -3.47     3.38   170.75     1.40     0.42     6.11     7.02
 20070805.080000    -3.24     1.99   170.60     1.39     0.39     6.11     6.86
 20070805.110000    -3.83     2.73   170.64     1.35     0.35     6.07     6.87
 20070805.140000    -4.43     3.47   170.02     1.32     0.31     5.91     6.86
 20070805.170000    -3.26     3.15   170.14     1.29     0.27     5.81     6.82
 20070805.200000    -2.09     2.83   170.66     1.26     0.23     5.75     7.60
 20070805.230000    -2.54     2.84   171.59     1.20     0.20     5.72     7.79
 20070806.020000    -3.00     2.83   172.11     1.16     0.18     5.66     7.80
 20070806.050000    -2.80     2.80   172.83     1.14     0.17     5.62     7.84
 20070806.080000    -2.61     2.76   173.88     1.14     0.17     5.62     7.86
 20070806.110000    -4.09     1.59   174.34     1.14     0.16     5.59     7.81
 20070806.140000    -5.55     0.42   171.88     1.15     0.16     5.44     7.73
 20070806.170000    -3.84     0.97   171.70     1.14     0.16     5.41     7.66
 20070806.200000    -2.12     1.52   174.91     1.11     0.17     5.55     7.64
 20070806.230000    -1.59     1.32   179.28     1.07     0.19     5.81     7.68
 20070807.020000    -1.06     1.12   182.29     1.06     0.20     5.98     7.72
 20070807.050000    -1.79    -1.13   184.35     1.06     0.21     6.08     7.73
 20070807.080000    -2.50    -3.38   185.13     1.06     0.21     6.07     7.74
 20070807.110000    -3.22    -3.08   182.82     1.09     0.21     5.88     7.75
 20070807.140000    -3.93    -2.79   179.83     1.10     0.21     5.76     7.75
 20070807.170000    -3.40    -2.75   176.75     1.11     0.21     5.70     7.74
 20070807.200000    -2.87    -2.71   170.67     1.13     0.21     5.65     7.74
 20070807.230000    -2.57    -5.93   145.21     1.25     0.20     5.38     7.59
 20070808.020000    -2.28    -9.16    87.52     1.54     0.18     5.15     5.64
 20070808.050000    -1.61    -7.32    70.76     1.58     0.16     5.22     6.00
 20070808.080000    -0.94    -5.49    72.76     1.32     0.15     5.09     6.02
 20070808.110000    -3.04    -3.76    95.65     1.13     0.13     5.05     6.37
 20070808.140000    -5.14    -2.04   117.20     1.06     0.13     5.00     7.63
 20070808.170000    -6.80    -0.96   118.53     1.10     0.14     4.89     7.51
 20070808.200000    -8.46     0.11   113.73     1.25     0.17     4.81     6.76
 20070808.230000    -6.61     0.68   124.14     1.29     0.19     4.95     6.51
 20070809.020000    -4.75     1.26   140.13     1.25     0.20     5.17     7.49
