  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20101001.080000    -7.14    -8.77    61.53     1.99     0.13     5.29     6.12
 20101001.110000    -8.01    -8.41    60.44     2.03     0.12     5.23     6.07
 20101001.140000    -8.88    -8.04    60.47     2.11     0.12     5.33     6.13
 20101001.170000    -8.25    -6.95    60.81     2.03     0.12     5.28     6.21
 20101001.200000    -7.61    -5.86    62.75     1.81     0.11     5.06     6.09
 20101001.230000    -6.88    -6.14    64.43     1.64     0.10     4.88     5.87
 20101002.020000    -6.16    -6.42    65.32     1.54     0.08     4.73     5.67
 20101002.050000    -6.02    -6.02    66.54     1.46     0.06     4.59     5.59
 20101002.080000    -5.89    -5.61    67.58     1.38     0.06     4.49     5.53
 20101002.110000    -5.53    -5.31    69.86     1.27     0.06     4.47     5.50
 20101002.140000    -5.19    -5.01    72.93     1.18     0.07     4.37     5.31
 20101002.170000    -5.26    -2.48    80.25     1.08     0.07     4.33     5.18
 20101002.200000    -5.33     0.04    92.39     1.00     0.07     4.38     5.08
 20101002.230000    -5.29    -1.48   100.34     0.97     0.06     4.31     4.81
 20101003.020000    -5.25    -3.00   102.49     0.97     0.04     4.20     4.57
 20101003.050000    -4.96    -4.17    99.96     0.96     0.03     4.08     4.54
 20101003.080000    -4.65    -5.33    92.73     0.95     0.02     3.95     4.56
 20101003.110000    -3.88    -4.73    89.01     0.91     0.01     3.87     4.67
 20101003.140000    -3.11    -4.14    87.12     0.85     0.01     3.85     4.74
 20101003.170000    -4.39    -4.96    80.72     0.88     0.01     3.88     4.77
 20101003.200000    -5.66    -5.78    73.69     1.05     0.01     4.13     4.97
 20101003.230000    -6.88    -6.44    68.12     1.35     0.02     4.46     5.19
 20101004.020000    -8.12    -7.09    65.62     1.70     0.03     4.98     5.69
 20101004.050000    -7.78    -7.97    63.71     1.94     0.07     5.30     6.14
 20101004.080000    -7.44    -8.86    61.54     2.00     0.10     5.34     6.22
 20101004.110000    -8.46    -8.67    61.01     2.07     0.11     5.39     6.15
 20101004.140000    -9.47    -8.47    61.78     2.26     0.13     5.55     6.34
 20101004.170000    -8.08    -6.66    63.26     2.14     0.16     5.53     6.58
 20101004.200000    -6.70    -4.87    66.06     1.81     0.14     5.31     6.60
 20101004.230000    -7.20    -6.33    67.03     1.69     0.11     5.04     6.13
 20101005.020000    -7.69    -7.78    65.69     1.78     0.08     5.04     5.89
 20101005.050000    -8.23    -8.72    63.13     1.97     0.07     5.22     6.02
 20101005.080000    -8.77    -9.67    60.67     2.24     0.10     5.43     6.24
 20101005.110000    -8.40    -9.33    59.95     2.31     0.14     5.58     6.51
 20101005.140000    -8.02    -8.99    59.29     2.25     0.15     5.50     6.50
 20101005.170000    -7.88    -7.79    59.66     2.10     0.13     5.32     6.34
 20101005.200000    -7.75    -6.59    61.43     1.87     0.10     5.09     6.09
 20101005.230000    -7.33    -6.86    62.85     1.71     0.07     4.88     5.82
 20101006.020000    -6.91    -7.12    63.13     1.64     0.05     4.73     5.63
