  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20090801.080000    -2.27    -6.21   138.87     1.01     0.10     4.56     6.79
 20090801.110000    -3.22    -5.62   103.48     1.11     0.12     4.58     4.80
 20090801.140000    -4.18    -5.03    91.32     1.16     0.13     4.69     5.16
 20090801.170000    -5.17    -4.08    86.91     1.19     0.13     4.76     5.23
 20090801.200000    -6.16    -3.12    86.05     1.20     0.13     4.74     5.27
 20090801.230000    -5.17    -5.67    82.38     1.22     0.12     4.71     5.26
 20090802.020000    -4.19    -8.23    70.33     1.37     0.12     4.70     5.19
 20090802.050000    -4.37    -6.90    67.15     1.44     0.12     4.86     5.59
 20090802.080000    -4.56    -5.57    67.49     1.39     0.13     4.89     5.85
 20090802.110000    -4.97    -5.72    68.04     1.34     0.14     4.81     5.86
 20090802.140000    -5.37    -5.87    68.79     1.34     0.15     4.77     5.76
 20090802.170000    -5.21    -3.43    73.67     1.27     0.16     4.82     5.72
 20090802.200000    -5.06    -1.00    83.62     1.17     0.17     4.92     5.80
 20090802.230000    -6.18    -3.03    87.91     1.14     0.15     4.76     5.71
 20090803.020000    -7.31    -5.07    79.90     1.22     0.12     4.48     4.68
 20090803.050000    -6.59    -4.78    76.60     1.18     0.10     4.32     4.65
 20090803.080000    -5.87    -4.48    77.08     1.08     0.09     4.12     4.58
 20090803.110000    -5.97    -1.51    89.16     0.99     0.10     4.12     4.57
 20090803.140000    -6.07     1.47   109.53     0.99     0.14     4.32     5.44
 20090803.170000    -6.14     1.47   124.35     1.07     0.20     4.68     5.40
 20090803.200000    -6.22     1.47   135.08     1.19     0.24     5.09     5.52
 20090803.230000    -6.42     1.96   142.83     1.31     0.28     5.44     8.23
 20090804.020000    -6.62     2.45   151.02     1.47     0.38     5.92     8.44
 20090804.050000    -5.75     4.32   159.40     1.67     0.52     6.38     8.80
 20090804.080000    -4.88     6.19   164.91     1.85     0.58     6.49     8.88
 20090804.110000    -4.70     6.03   168.24     1.91     0.55     6.47     8.80
 20090804.140000    -4.53     5.89   169.98     1.87     0.50     6.37     8.62
 20090804.170000    -4.61     5.50   170.69     1.81     0.43     6.21     8.32
 20090804.200000    -4.69     5.11   170.99     1.74     0.37     6.05     8.01
 20090804.230000    -2.77     5.35   172.71     1.67     0.34     5.97     7.91
 20090805.020000    -0.85     5.59   176.22     1.62     0.33     5.98     7.90
 20090805.050000    -0.34     6.08   179.47     1.59     0.30     5.92     7.89
 20090805.080000     0.16     6.57   181.80     1.58     0.26     5.78     7.78
 20090805.110000     0.12     6.47   182.93     1.54     0.21     5.64     7.47
 20090805.140000     0.08     6.36   183.44     1.49     0.17     5.49     7.18
 20090805.170000    -0.46     5.19   183.97     1.43     0.14     5.38     7.03
 20090805.200000    -1.01     4.01   186.28     1.34     0.12     5.42     6.93
 20090805.230000     0.43     3.82   189.02     1.25     0.11     5.50     6.88
 20090806.020000     1.85     3.64   190.93     1.18     0.10     5.45     6.83
 20090806.050000     1.10     2.11   191.83     1.11     0.09     5.43     6.73
 20090806.080000     0.34     0.58   191.90     1.02     0.08     5.53     6.63
 20090806.110000    -0.35    -0.19   191.85     0.96     0.07     5.56     6.53
 20090806.140000    -1.03    -0.97   192.05     0.91     0.07     5.59     6.45
 20090806.170000     0.74     0.41   192.41     0.88     0.07     5.63     6.38
 20090806.200000     2.50     1.78   192.95     0.86     0.07     5.65     6.35
 20090806.230000     4.27     1.02   195.66     0.88     0.06     5.38     6.35
 20090807.020000     6.04     0.25   202.26     1.00     0.06     4.81     6.36
