  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20031101.080000    -4.70    -6.43    65.15     0.92     0.02     3.75     4.46
 20031101.110000    -4.91    -5.65    64.95     0.96     0.02     3.81     4.62
 20031101.140000    -5.11    -4.86    65.99     0.95     0.02     3.85     4.76
 20031101.170000    -5.05    -4.22    67.94     0.94     0.03     3.88     4.87
 20031101.200000    -4.98    -3.58    69.79     0.91     0.04     3.88     4.88
 20031101.230000    -4.09    -5.40    69.16     0.91     0.05     3.85     4.81
 20031102.020000    -3.19    -7.22    65.04     0.96     0.05     3.87     4.65
 20031102.050000    -3.04    -7.19    62.54     1.01     0.04     3.99     4.79
 20031102.080000    -2.90    -7.16    61.27     1.05     0.02     4.08     5.05
 20031102.110000    -2.76    -6.82    61.12     1.06     0.02     4.16     5.24
 20031102.140000    -2.62    -6.48    61.04     1.06     0.02     4.21     5.38
 20031102.170000    -0.96    -4.47    64.15     0.99     0.03     4.37     5.54
 20031102.200000     0.71    -2.46    68.75     0.90     0.03     4.72     5.80
 20031102.230000    -0.08    -3.42    69.88     0.87     0.03     4.95     6.00
 20031103.020000    -0.87    -4.38    68.65     0.88     0.03     4.91     6.13
 20031103.050000     0.49    -4.14    67.59     0.89     0.03     4.83     6.21
 20031103.080000     1.84    -3.90    66.22     0.88     0.02     4.71     6.17
 20031103.110000    -2.19    -3.71    65.55     0.86     0.01     4.54     6.04
 20031103.140000    -6.21    -3.52    67.30     1.00     0.02     4.28     5.88
 20031103.170000    -8.49    -5.51    68.10     1.55     0.07     4.84     5.40
 20031103.200000   -10.76    -7.51    65.46     2.38     0.20     5.69     6.38
 20031103.230000   -10.78    -9.08    62.65     2.88     0.40     6.21     7.09
 20031104.020000   -10.79   -10.66    60.29     3.07     0.48     6.34     7.25
 20031104.050000    -9.33   -10.53    58.82     2.92     0.43     6.19     7.18
 20031104.080000    -7.87   -10.40    57.54     2.64     0.32     5.85     6.84
 20031104.110000    -7.64    -8.71    57.92     2.33     0.24     5.55     6.59
 20031104.140000    -7.41    -7.02    60.15     2.00     0.18     5.27     6.27
 20031104.170000    -7.30    -6.66    61.49     1.80     0.12     4.99     5.94
 20031104.200000    -7.19    -6.29    62.40     1.68     0.07     4.78     5.73
 20031104.230000    -5.84    -5.30    64.64     1.45     0.05     4.65     5.80
 20031105.020000    -4.50    -4.29    65.79     1.20     0.03     4.52     5.79
 20031105.050000    -3.99    -4.70    65.82     1.05     0.02     4.29     5.73
