  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20060201.080000    -6.38    -6.23    69.37     1.26     0.01     4.40     5.13
 20060201.110000    -5.96    -6.26    66.96     1.32     0.02     4.51     5.41
 20060201.140000    -5.54    -6.29    65.39     1.32     0.04     4.55     5.53
 20060201.170000    -7.79    -5.68    65.21     1.42     0.04     4.63     5.42
 20060201.200000   -10.04    -5.08    67.99     1.72     0.04     4.90     5.57
 20060201.230000    -9.03    -6.21    67.66     1.88     0.06     5.13     5.98
 20060202.020000    -8.03    -7.34    65.82     1.88     0.09     5.14     6.05
 20060202.050000    -8.22    -8.00    64.59     1.90     0.13     5.13     5.94
 20060202.080000    -8.41    -8.66    64.10     2.01     0.17     5.24     6.00
 20060202.110000    -8.08    -7.20    65.35     1.95     0.17     5.23     6.06
 20060202.140000    -7.75    -5.75    67.20     1.75     0.14     4.99     5.94
 20060202.170000    -6.79    -4.70    70.32     1.49     0.13     4.78     5.79
 20060202.200000    -5.83    -3.65    74.60     1.29     0.12     4.62     5.67
 20060202.230000    -6.01    -4.18    77.67     1.19     0.11     4.44     5.47
 20060203.020000    -6.20    -4.72    78.53     1.16     0.08     4.28     5.25
 20060203.050000    -6.44    -5.69    76.14     1.18     0.07     4.22     4.93
 20060203.080000    -6.69    -6.65    71.88     1.26     0.05     4.28     4.93
 20060203.110000    -9.06    -6.34    69.70     1.49     0.04     4.49     5.06
 20060203.140000   -11.44    -6.02    71.28     1.95     0.03     4.99     5.55
 20060203.170000   -11.29    -7.67    68.87     2.33     0.06     5.46     6.11
 20060203.200000   -11.14    -9.32    64.77     2.72     0.19     5.93     6.67
 20060203.230000   -11.01    -9.97    62.20     3.09     0.53     6.43     7.32
 20060204.020000   -10.88   -10.62    60.56     3.29     0.77     6.69     7.59
 20060204.050000   -10.88   -11.07    59.51     3.36     0.79     6.69     7.55
 20060204.080000   -10.89   -11.52    59.10     3.40     0.78     6.69     7.57
 20060204.110000   -10.79   -12.28    58.61     3.53     0.88     6.82     7.70
 20060204.140000   -10.68   -13.04    57.72     3.75     1.11     7.07     8.03
 20060204.170000   -10.04   -10.58    57.74     3.56     1.14     7.00     8.11
 20060204.200000    -9.39    -8.11    59.80     2.97     0.80     6.45     7.38
 20060204.230000    -9.60    -8.70    61.34     2.64     0.47     5.89     6.69
 20060205.020000    -9.80    -9.29    61.64     2.58     0.31     5.73     6.61
 20060205.050000    -8.30   -10.30    60.64     2.50     0.26     5.62     6.59
 20060205.080000    -6.80   -11.30    58.23     2.38     0.24     5.46     6.46
 20060205.110000    -7.05    -9.43    57.93     2.19     0.21     5.25     6.25
 20060205.140000    -7.30    -7.56    60.37     1.89     0.19     5.05     5.97
 20060205.170000    -7.44    -5.69    65.06     1.65     0.18     4.83     5.60
 20060205.200000    -7.58    -3.82    72.51     1.47     0.18     4.67     5.39
 20060205.230000    -6.23    -3.54    80.18     1.32     0.17     4.58     5.34
 20060206.020000    -4.88    -3.27    88.62     1.18     0.15     4.55     5.28
 20060206.050000    -3.71    -4.36    94.84     1.10     0.12     4.54     5.27
 20060206.080000    -2.54    -5.46    94.88     1.05     0.11     4.44     5.22
 20060206.110000    -2.17    -4.01    97.45     0.99     0.09     4.38     5.19
 20060206.140000    -1.81    -2.55   108.85     0.88     0.08     4.54     5.21
 20060206.170000    -2.07    -1.24   120.46     0.81     0.07     4.72     5.24
 20060206.200000    -2.34     0.08   128.34     0.76     0.06     4.76     5.20
 20060206.230000    -3.18    -2.29   130.88     0.74     0.06     4.65     5.15
 20060207.020000    -4.02    -4.67   108.49     0.83     0.05     4.09     5.02
 20060207.050000    -5.95    -5.96    82.01     1.01     0.05     3.91     4.26
 20060207.080000    -7.88    -7.26    72.55     1.35     0.04     4.22     4.73
 20060207.110000    -7.73    -7.87    70.45     1.64     0.03     4.70     5.42
 20060207.140000    -7.59    -8.49    66.56     1.78     0.04     4.97     5.69
 20060207.170000    -9.18    -7.64    64.83     1.97     0.05     5.22     5.99
 20060207.200000   -10.77    -6.79    65.61     2.27     0.10     5.56     6.33
 20060207.230000   -10.80    -8.15    64.84     2.54     0.20     5.88     6.68
 20060208.020000   -10.83    -9.49    62.61     2.75     0.29     6.01     6.85
 20060208.050000   -10.92    -9.83    61.51     2.86     0.34     6.11     6.94
 20060208.080000   -11.02   -10.17    61.32     2.98     0.41     6.25     7.14
 20060208.110000   -12.11   -10.17    61.87     3.23     0.56     6.47     7.34
 20060208.140000   -13.22   -10.18    62.75     3.57     0.76     6.72     7.67
 20060208.170000   -12.38    -9.76    63.03     3.60     0.89     6.82     7.90
 20060208.200000   -11.55    -9.33    63.05     3.43     0.83     6.69     7.80
 20060208.230000   -11.54   -10.00    62.66     3.37     0.76     6.57     7.53
 20060209.020000   -11.53   -10.68    62.12     3.37     0.72     6.54     7.46
 20060209.050000   -10.77   -11.40    61.19     3.32     0.67     6.47     7.39
 20060209.080000   -10.02   -12.13    59.55     3.25     0.62     6.37     7.31
 20060209.110000    -9.88   -10.03    59.59     3.04     0.54     6.18     7.20
 20060209.140000    -9.73    -7.93    61.91     2.69     0.43     5.93     6.86
 20060209.170000    -9.18    -7.85    64.01     2.43     0.34     5.68     6.59
 20060209.200000    -8.62    -7.78    64.90     2.28     0.28     5.47     6.41
 20060209.230000    -7.60    -7.04    66.14     2.01     0.23     5.27     6.21
 20060210.020000    -6.59    -6.29    67.88     1.72     0.19     5.04     6.04
 20060210.050000    -5.75    -5.84    69.98     1.52     0.16     4.82     5.87
 20060210.080000    -4.92    -5.38    72.08     1.35     0.13     4.66     5.67
 20060210.110000    -3.84    -4.28    76.88     1.18     0.11     4.60     5.56
 20060210.140000    -2.77    -3.18    86.12     1.02     0.10     4.62     5.50
 20060210.170000    -3.85    -2.21    95.43     0.94     0.09     4.56     5.43
 20060210.200000    -4.93    -1.24   101.00     0.90     0.08     4.41     5.30
 20060210.230000    -4.18    -1.97   104.30     0.87     0.07     4.31     5.12
 20060211.020000    -3.44    -2.70   105.60     0.84     0.06     4.23     5.00
 20060211.050000    -3.42    -4.25   100.97     0.83     0.06     4.08     4.89
 20060211.080000    -3.40    -5.79    85.33     0.85     0.05     3.88     4.50
 20060211.110000    -2.85    -3.87    81.07     0.81     0.05     3.85     4.49
 20060211.140000    -2.31    -1.95    90.51     0.71     0.05     3.93     4.55
 20060211.170000    -2.07    -1.19   101.88     0.63     0.05     4.06     4.57
 20060211.200000    -1.83    -0.45   109.41     0.58     0.04     4.08     4.53
 20060211.230000    -3.54    -2.69   107.06     0.58     0.04     3.91     4.45
 20060212.020000    -5.24    -4.94    79.88     0.76     0.04     3.42     3.60
 20060212.050000    -7.28    -5.86    71.85     1.01     0.03     3.71     4.10
 20060212.080000    -9.31    -6.77    72.82     1.50     0.03     4.42     4.97
 20060212.110000    -9.23    -6.78    71.98     1.89     0.03     5.10     5.76
 20060212.140000    -9.16    -6.79    67.97     1.99     0.05     5.26     6.06
 20060212.170000    -9.53    -7.63    64.62     2.06     0.06     5.31     6.09
 20060212.200000    -9.91    -8.46    62.71     2.25     0.08     5.49     6.23
 20060212.230000    -9.26    -7.71    62.22     2.23     0.10     5.51     6.44
 20060213.020000    -8.60    -6.95    62.43     2.01     0.08     5.21     6.20
 20060213.050000    -7.62    -7.54    62.78     1.81     0.10     4.92     5.79
 20060213.080000    -6.64    -8.13    65.31     1.77     0.23     4.93     5.58
 20060213.110000    -6.48    -6.63    70.82     1.70     0.30     4.98     5.53
 20060213.140000    -6.32    -5.13    77.44     1.48     0.24     4.83     5.50
 20060213.170000    -5.99    -4.23    81.08     1.29     0.16     4.55     5.40
 20060213.200000    -5.66    -3.32    83.61     1.15     0.09     4.31     5.23
 20060213.230000    -5.54    -3.83    84.29     1.06     0.06     4.12     4.99
