  Time              windx     windy     DIR    HS      HSWEll     TMM10     TPS
 20120301.080000    -6.87    -3.43    72.99     1.01     0.01     3.92     4.84
 20120301.090000    -6.45    -3.23    73.78     1.00     0.01     3.91     4.81
 20120301.100000    -6.03    -3.04    74.52     0.98     0.01     3.89     4.85
 20120301.110000    -5.60    -2.84    75.06     0.95     0.01     3.85     4.86
 20120301.120000    -5.18    -2.64    75.53     0.92     0.01     3.79     4.84
 20120301.130000    -4.75    -2.44    76.70     0.87     0.00     3.73     4.81
 20120301.140000    -4.33    -2.25    78.63     0.81     0.00     3.72     4.79
 20120301.150000    -4.25    -2.15    80.44     0.77     0.00     3.69     4.77
 20120301.160000    -4.17    -2.05    81.79     0.73     0.00     3.65     4.73
 20120301.170000    -4.08    -1.94    82.67     0.70     0.00     3.59     4.68
 20120301.180000    -4.00    -1.84    83.38     0.68     0.00     3.53     4.61
 20120301.190000    -3.91    -1.75    84.00     0.66     0.00     3.48     4.54
 20120301.200000    -3.82    -1.65    84.49     0.64     0.00     3.42     4.46
 20120301.210000    -4.00    -1.94    84.64     0.63     0.00     3.37     4.36
 20120301.220000    -4.17    -2.24    84.43     0.62     0.00     3.32     4.25
 20120301.230000    -4.33    -2.53    83.87     0.62     0.00     3.27     4.14
 20120302.000000    -4.49    -2.81    83.01     0.61     0.00     3.23     4.06
 20120302.010000    -4.64    -3.10    81.93     0.62     0.00     3.21     4.02
 20120302.020000    -4.79    -3.38    80.65     0.63     0.00     3.20     3.98
 20120302.030000    -4.70    -3.51    79.91     0.64     0.00     3.22     3.95
 20120302.040000    -4.62    -3.64    79.58     0.65     0.00     3.25     3.95
 20120302.050000    -4.53    -3.78    79.41     0.65     0.00     3.29     3.98
 20120302.060000    -4.43    -3.90    79.28     0.66     0.00     3.32     4.02
 20120302.070000    -4.33    -4.03    79.19     0.67     0.00     3.35     4.08
 20120302.080000    -4.23    -4.15    79.11     0.68     0.00     3.39     4.13
 20120302.090000    -4.24    -3.73    79.62     0.69     0.00     3.42     4.18
 20120302.100000    -4.24    -3.29    80.41     0.69     0.00     3.45     4.24
 20120302.110000    -4.23    -2.83    81.30     0.68     0.00     3.47     4.29
 20120302.120000    -4.19    -2.37    82.35     0.68     0.00     3.49     4.33
 20120302.130000    -4.12    -1.88    83.49     0.67     0.00     3.49     4.37
 20120302.140000    -4.03    -1.38    84.77     0.66     0.00     3.49     4.41
 20120302.150000    -4.40    -1.35    85.85     0.65     0.00     3.47     4.43
 20120302.160000    -4.77    -1.31    86.42     0.65     0.00     3.44     4.42
 20120302.170000    -5.13    -1.27    86.85     0.65     0.00     3.42     4.37
 20120302.180000    -5.50    -1.24    87.22     0.66     0.00     3.41     4.31
 20120302.190000    -5.86    -1.21    87.56     0.67     0.00     3.42     4.25
 20120302.200000    -6.22    -1.18    87.85     0.70     0.00     3.46     4.19
 20120302.210000    -7.00    -2.13    86.40     0.76     0.00     3.51     4.06
 20120302.220000    -7.72    -3.07    83.48     0.88     0.00     3.59     4.11
 20120302.230000    -8.39    -3.99    81.30     1.04     0.00     3.79     4.25
 20120303.000000    -9.03    -4.91    79.75     1.24     0.00     4.06     4.56
 20120303.010000    -9.65    -5.81    78.12     1.47     0.00     4.36     4.92
 20120303.020000   -10.25    -6.70    75.89     1.72     0.01     4.68     5.20
 20120303.030000   -10.12    -6.80    73.89     1.92     0.02     4.99     5.56
 20120303.040000    -9.99    -6.90    71.97     2.05     0.03     5.22     5.90
 20120303.050000    -9.85    -6.98    70.11     2.13     0.05     5.36     6.06
 20120303.060000    -9.72    -7.08    68.50     2.17     0.06     5.44     6.16
 20120303.070000    -9.58    -7.16    67.23     2.20     0.09     5.49     6.31
 20120303.080000    -9.44    -7.26    66.20     2.21     0.10     5.51     6.40
 20120303.090000    -9.11    -6.95    65.56     2.19     0.12     5.51     6.43
 20120303.100000    -8.78    -6.65    65.22     2.14     0.13     5.47     6.42
 20120303.110000    -8.44    -6.34    65.13     2.06     0.13     5.40     6.37
 20120303.120000    -8.11    -6.03    65.11     1.98     0.13     5.31     6.29
 20120303.130000    -7.77    -5.72    65.22     1.89     0.13     5.20     6.20
 20120303.140000    -7.44    -5.42    65.57     1.80     0.12     5.10     6.12
 20120303.150000    -7.33    -5.54    65.89     1.72     0.11     4.99     6.03
 20120303.160000    -7.21    -5.66    66.01     1.66     0.09     4.89     5.88
 20120303.170000    -7.09    -5.77    65.95     1.61     0.08     4.80     5.74
 20120303.180000    -6.97    -5.89    65.95     1.58     0.07     4.73     5.62
 20120303.190000    -6.85    -6.00    66.02     1.55     0.05     4.66     5.55
 20120303.200000    -6.72    -6.12    66.11     1.52     0.04     4.60     5.51
 20120303.210000    -6.96    -6.02    66.30     1.51     0.03     4.56     5.47
 20120303.220000    -7.20    -5.92    66.55     1.50     0.03     4.52     5.44
 20120303.230000    -7.42    -5.82    66.85     1.49     0.02     4.50     5.42
 20120304.000000    -7.66    -5.72    67.18     1.49     0.02     4.50     5.40
 20120304.010000    -7.87    -5.61    67.52     1.50     0.02     4.50     5.40
 20120304.020000    -8.10    -5.50    67.87     1.51     0.01     4.50     5.40
 20120304.030000    -7.88    -5.40    68.19     1.50     0.01     4.50     5.41
 20120304.040000    -7.67    -5.28    68.42     1.48     0.01     4.49     5.42
 20120304.050000    -7.45    -5.17    68.54     1.46     0.01     4.45     5.41
 20120304.060000    -7.23    -5.06    68.58     1.43     0.01     4.40     5.40
 20120304.070000    -7.01    -4.95    68.62     1.39     0.01     4.34     5.37
 20120304.080000    -6.80    -4.85    68.93     1.34     0.01     4.29     5.33
 20120304.090000    -6.45    -4.96    69.46     1.28     0.01     4.27     5.30
 20120304.100000    -6.10    -5.07    69.32     1.23     0.01     4.22     5.28
 20120304.110000    -5.72    -5.18    68.95     1.19     0.01     4.17     5.25
 20120304.120000    -5.35    -5.27    68.61     1.15     0.01     4.12     5.22
 20120304.130000    -4.95    -5.36    68.28     1.12     0.01     4.07     5.18
 20120304.140000    -4.55    -5.44    67.89     1.08     0.01     4.00     5.14
 20120304.150000    -4.64    -5.26    67.64     1.05     0.01     3.94     5.09
 20120304.160000    -4.74    -5.09    67.56     1.03     0.01     3.89     5.02
 20120304.170000    -4.83    -4.92    67.67     1.01     0.01     3.83     4.95
 20120304.180000    -4.91    -4.74    68.00     0.99     0.01     3.78     4.88
 20120304.190000    -4.99    -4.55    68.61     0.97     0.01     3.74     4.82
 20120304.200000    -5.07    -4.36    69.52     0.96     0.01     3.72     4.75
 20120304.210000    -4.68    -4.10    71.19     0.94     0.01     3.70     4.69
 20120304.220000    -4.30    -3.84    74.41     0.90     0.01     3.74     4.70
 20120304.230000    -3.91    -3.58    77.88     0.87     0.01     3.80     4.75
 20120305.000000    -3.52    -3.32    82.24     0.84     0.01     3.87     4.81
 20120305.010000    -3.14    -3.06    87.38     0.81     0.01     3.94     4.91
 20120305.020000    -2.74    -2.79    92.62     0.79     0.01     4.00     5.07
 20120305.030000    -2.64    -2.52    98.85     0.77     0.01     4.09     5.33
 20120305.040000    -2.52    -2.24   104.57     0.76     0.01     4.17     5.57
 20120305.050000    -2.40    -1.96   109.33     0.75     0.01     4.23     5.77
 20120305.060000    -2.28    -1.67   113.50     0.74     0.01     4.26     5.84
 20120305.070000    -2.15    -1.38   117.52     0.73     0.01     4.30     5.85
 20120305.080000    -2.00    -1.08   120.89     0.72     0.01     4.33     5.81
 20120305.090000    -1.78    -1.14   123.88     0.72     0.01     4.36     5.73
 20120305.100000    -1.53    -1.22   126.32     0.73     0.01     4.38     5.52
 20120305.110000    -1.19    -1.34   128.42     0.74     0.02     4.40     5.34
 20120305.120000    -0.68    -1.49   130.25     0.75     0.02     4.46     5.26
 20120305.130000     0.23    -1.45   131.71     0.76     0.02     4.52     5.23
 20120305.140000     1.30    -0.36   132.86     0.77     0.02     4.57     5.21
 20120305.150000     1.46    -0.16   133.87     0.76     0.02     4.61     5.21
 20120305.160000     1.57     0.18   134.86     0.76     0.02     4.65     5.20
 20120305.170000     1.53     0.73   135.89     0.74     0.02     4.68     5.20
 20120305.180000     1.07     1.45   136.98     0.73     0.02     4.70     5.20
